单品名称,均值,方差,标准差,变异系数(%),波动程度,最小值,最大值,中位数,样本数
洪湖莲藕(脆藕),3.3333333333333335,9.151515151515152,3.025147128903841,90.75441386711522,高波动,1.0,12.0,2.5,12
洪湖藕带,2.8897441860465114,4.870241731969957,2.2068624179975416,76.36878131474927,高波动,0.21,11.218,2.3385,258
活体银耳,1.0,,,,高波动,1.0,1.0,1.0,1
海鲜菇,1.5015176151761516,0.6703444840638625,0.8187456772794971,54.52787692959868,高波动,0.063,4.779,1.441,369
海鲜菇(份),8.030864197530864,28.986619124300276,5.383922280670504,67.0403850475497,高波动,1.0,37.0,8.0,162
海鲜菇(包),10.949579831932773,36.353368466030474,6.029375462353499,55.064902534157056,高波动,1.0,25.0,11.0,119
海鲜菇(袋),7.8326693227091635,40.3017504450284,6.348365966532522,81.0498401627499,高波动,1.0,57.0,6.0,753
灯笼椒,0.9192324840764331,0.6851514889094645,0.8277387806001749,90.04672865013215,高波动,0.093,6.886,0.696,314
灯笼椒(份),1.5,1.0000000000000002,1.0,66.66666666666666,高波动,1.0,3.0,1.0,4
牛排菇,0.6602,0.1776944,0.421538135878594,63.85006602220449,高波动,0.101,1.585,0.5880000000000001,10
牛排菇(盒),1.36,1.1566666666666665,1.0754843869934452,79.07973433775332,高波动,-1.0,4.0,1.0,25
牛首油菜,13.461635087719298,93.55975228890543,9.672629026738564,71.85329986817615,高波动,0.379,65.999,9.951,285
牛首生菜,8.82193137254902,25.023785985342666,5.0023780330301575,56.70388741172857,高波动,0.473,27.251,7.502,102
猪肚菇(盒),1.1666666666666667,0.16666666666666669,0.408248290463863,34.99271061118826,中等波动,1.0,2.0,1.0,6
猴头菇,1.0,0.0,0.0,0.0,低波动,1.0,1.0,1.0,3
甘蓝叶,0.943,,,,高波动,0.943,0.943,0.943,1
甜白菜,13.780179411764706,124.46646648394065,11.15645402822692,80.96015077062201,高波动,0.186,71.582,11.3505,340
田七,0.47137500000000004,0.0796456894736842,0.2822156790004485,59.870735401845344,高波动,0.056,1.239,0.401,96
白玉菇,4.074626865671642,3.7064676616915424,1.9252188607250715,47.24896105076182,中等波动,1.0,8.0,4.0,67
白玉菇(盒),4.0,12.439024390243905,3.5269001106132714,88.17250276533179,高波动,1.0,18.0,3.0,42
白玉菇(袋),4.193409742120344,15.143313751526199,3.8914410893043465,92.79897097145316,高波动,1.0,48.0,3.0,698
白菜苔,7.811695652173913,33.05282217009077,5.749158387980867,73.59680463717166,高波动,0.3349999999999999,23.17,6.7,92
白蒿,0.15885714285714286,0.004159670329670328,0.06449550627501367,40.59968920189709,中等波动,0.051,0.307,0.178,14
秀珍菇,0.8651764705882353,0.35891590441176474,0.5990959058546175,69.24551536258157,高波动,0.207,2.513,0.688,17
竹叶菜,10.855718140929536,70.50075178530112,8.396472579917184,77.34608130861275,高波动,0.189,61.519,9.526,667
竹叶菜(份),13.794871794871796,199.46386946386943,14.123167826796841,102.37984112362022,高波动,-1.0,59.0,5.5,78
紫圆茄,0.95725,0.5452956428571426,0.738441360472951,77.14195460673292,高波动,0.219,2.525,0.7065,8
紫尖椒,0.877,0.6227280000000002,0.7891311678041871,89.9807488944341,高波动,0.319,1.435,0.877,2
紫白菜,0.8156470588235294,0.26439711764705875,0.5141956025162592,63.04143403127367,高波动,0.188,1.578,0.609,17
紫苏,0.35919047619047617,0.08731201147446929,0.2954860596956636,82.26444721740603,高波动,0.044,1.48,0.278,84
紫苏(份),1.2121212121212122,0.23484848484848478,0.4846116845975598,39.98046397929868,中等波动,1.0,3.0,1.0,33
紫茄子,13.262556297709923,82.20525768928225,9.066711514616655,68.36322735295175,高波动,0.252,109.43,11.440999999999999,1048
紫螺丝椒,0.6843,0.32073823333333334,0.566337561294793,82.76159013514437,高波动,0.184,1.965,0.44349999999999995,10
紫贝菜,0.5098490566037736,0.10555859216255445,0.32489781803292317,63.724314838816255,高波动,0.136,1.482,0.401,53
红尖椒,1.3967929936305734,1.32496193464724,1.1510699086707288,82.40805286965565,高波动,0.069,7.756,1.0715,314
红尖椒(份),3.8739837398373984,7.0820142691222845,2.661205416558873,68.69428462470962,高波动,1.0,16.0,3.0,246
红杭椒,1.1199999999999999,1.6229975468483808,1.2739692095370205,113.74725085151971,高波动,0.025,18.426,0.873,588
红杭椒(份),3.6822916666666665,7.6210460296684115,2.76062421015038,74.97027557975574,高波动,1.0,15.0,3.0,192
红椒,4.103964077669903,68.32874799190581,8.266120492220388,201.4179543431487,高波动,0.146,113.844,2.707,1030
红椒(份),3.4444444444444446,9.179487179487179,3.029766852331575,87.96097313220702,高波动,1.0,10.0,2.0,27
红橡叶,0.419,,,,高波动,0.419,0.419,0.419,1
红灯笼椒,1.0964933333333333,1.1630653730066813,1.0784550862259779,98.35491502237234,高波动,0.119,9.674,0.799,450
红灯笼椒(份),1.625,0.5535714285714286,0.7440238091428449,45.78608056263661,中等波动,1.0,3.0,1.5,8
红珊瑚(粗叶),0.682,,,,高波动,0.682,0.682,0.682,1
红线椒,0.86603125,0.4014997086693548,0.6336400466111298,73.16595637988004,高波动,0.015,2.746,0.6965,32
红莲藕带,1.0465520833333333,0.7684313235745615,0.8766021466860331,83.7609671459447,高波动,0.07,4.739,0.8185,96
红薯尖,9.0995291005291,62.510760959840766,7.9063747039867,86.88773470186469,高波动,0.134,55.159,6.578,567
红薯尖(份),12.53448275862069,86.11282516636417,9.27969962694721,74.03336703754307,高波动,1.0,35.0,13.0,58
组合椒系列,3.6420454545454546,11.339707792207788,3.3674482612518024,92.4603578752445,高波动,1.0,31.0,3.0,176
绣球菌,1.1666666666666667,0.16666666666666669,0.408248290463863,34.99271061118826,中等波动,1.0,2.0,1.0,6
绣球菌(袋),1.0,0.0,0.0,0.0,低波动,1.0,1.0,1.0,2
绿牛油,1.153,,,,高波动,1.153,1.153,1.153,1
艾蒿,2.628,3.260578666666666,1.8057072483286614,68.71032147369334,高波动,0.636,4.874,2.501,4
芜湖青椒,32.825560606060606,534.8288733457982,23.126367491367905,70.4523154041673,高波动,0.113,249.974,28.0,858
芝麻苋菜,9.381,,,,高波动,9.381,9.381,9.381,1
芥兰,0.671,,,,高波动,0.671,0.671,0.671,1
芥菜,3.695357142857143,8.198136093406593,2.8632387419505543,77.48205738341115,高波动,0.115,10.388,3.3985,14
花茄子,1.2515925925925926,1.6962614194444445,1.3024060117507308,104.05990091814795,高波动,0.151,7.138,0.845,81
花菇(一人份),1.0,0.0,0.0,0.0,低波动,1.0,1.0,1.0,3
苋菜,8.031592125984252,27.914644721389003,5.283431150435198,65.78311083977918,高波动,0.325,35.954,7.4,635
苋菜(份),7.607142857142857,36.42467532467533,6.0352858527724536,79.3370910223609,高波动,1.0,25.0,7.0,56
茶树菇(袋),1.875,0.9627659574468085,0.9812063786211382,52.33100685979404,高波动,1.0,4.0,2.0,48
茼蒿,7.996424124513619,27.856057788578674,5.277883836214915,66.00305028888074,高波动,0.251,43.262,6.984500000000001,514
茼蒿(份),7.072289156626506,6.99471054951514,2.6447515099750185,37.39597535399089,中等波动,1.0,14.0,8.0,83
荠菜,1.1347857142857143,0.5353695659340659,0.731689528375298,64.4782110987233,高波动,0.094,2.588,1.1595,14
荸荠,7.8470610328638495,65.37488330286118,8.085473597932355,103.0382402286668,高波动,0.161,63.326,5.629,213
荸荠(份),1.6666666666666667,0.6666666666666666,0.816496580927726,48.98979485566356,中等波动,1.0,3.0,1.5,6
莲蓬(个),24.36046511627907,346.04500683994524,18.6022849897518,76.3626018672389,高波动,1.0,80.0,20.0,86
菊花油菜,1.6944,3.1919633000000003,1.7866066438922699,105.44184631092244,高波动,0.732,4.883,0.993,5
菌菇火锅套餐(份),2.0,1.3333333333333333,1.1547005383792515,57.735026918962575,高波动,1.0,3.0,2.0,4
菌蔬四宝(份),3.25,2.9166666666666665,1.707825127659933,52.54846546645948,高波动,1.0,5.0,3.5,4
菜心,6.324496483825597,34.860210239072195,5.9042535717118545,93.35531432125102,高波动,0.217,52.276,4.757000000000001,711
菜心(份),7.465454545454546,37.9796416721964,6.162762503309405,82.55039885095402,高波动,1.0,72.0,6.0,275
菠菜,7.14583698630137,32.36904461673713,5.689379985265277,79.61810486541837,高波动,0.259,50.28,6.1115,730
菠菜(份),16.430051813471504,127.54963999730832,11.293787672756572,68.73860046805481,高波动,1.0,102.0,15.0,386
菱角,1.2040190476190475,0.925763441941392,0.9621660157900985,79.91285666890285,高波动,0.122,4.837,0.934,105
萝卜叶,2.5324695121951217,4.045719759800989,2.011397464401551,79.42435060780218,高波动,0.241,11.585,1.8904999999999998,164
蒲公英,0.23511111111111113,0.053834339869281045,0.2320222831309119,98.68622628441432,高波动,0.006,0.936,0.1545,18
蔡甸藜蒿,3.100907590759076,7.050716574213714,2.655318544772682,85.63036682182079,高波动,0.192,18.8,2.282,303
蔡甸藜蒿(份),4.0625,5.929166666666665,2.434988021873345,59.93816669226696,高波动,1.0,11.0,3.5,16
薄荷叶,0.2441290322580645,0.028930449462365594,0.170089533664966,69.67198128453946,高波动,0.074,0.746,0.167,31
藕尖,6.204666666666667,27.562929333333337,5.250040888729662,84.61439059948954,高波动,0.328,10.432,7.854,3
虫草花,0.4875243902439024,0.10998158581752485,0.3316347174490705,68.02423100989016,高波动,0.101,1.734,0.46499999999999997,82
虫草花(份),4.526530612244898,9.56179324188692,3.0922149410878474,68.31313440635913,高波动,1.0,28.0,4.0,245
虫草花(盒),1.0,,,,高波动,1.0,1.0,1.0,1
虫草花(袋),6.9361702127659575,23.61732522796352,4.859765964320043,70.0641105285405,高波动,1.0,41.0,6.0,141
螺丝椒,9.081796037296037,54.5249695931231,7.38410249069737,81.30663208437207,高波动,0.117,64.215,7.041,858
螺丝椒(份),21.55759162303665,247.38118893515264,15.728356205756297,72.95970941832307,高波动,1.0,79.0,19.5,382
蟹味菇,2.3734939759036147,2.4563620334998526,1.5672785436864287,66.03254777968202,高波动,1.0,9.0,2.0,83
蟹味菇(盒),2.53125,2.515120967741936,1.5859132913693408,62.653364597307295,高波动,1.0,6.0,2.0,32
蟹味菇(袋),3.99,24.373636363636383,4.9369663117785585,123.73349152327214,高波动,-1.0,30.0,3.0,100
蟹味菇与白玉菇双拼(盒),2.708029197080292,3.9141262344353787,1.9784150814314418,73.05737632240096,高波动,1.0,10.0,2.0,137
襄甜红菜苔(袋),5.857142857142857,80.47619047619048,8.970852271450605,153.16089243940058,高波动,1.0,26.0,3.0,7
西兰花,25.592219330855016,248.36512813231442,15.759604313951364,61.579670407681085,高波动,0.632,152.132,21.966,1076
西峡花菇,9.494801346801347,127.00440409891702,11.26962306818276,118.69256297794291,高波动,0.081,125.417,6.936,297
西峡香菇,14.476605633802816,123.82348007460982,11.127599924269825,76.86608453494736,高波动,0.05,79.166,11.323,852
西峡香菇(份),5.8307692307692305,32.92403846153846,5.737947234119399,98.4080660205174,高波动,1.0,34.0,5.0,65
豌豆尖,2.1807179487179487,4.120221628879892,2.0298329066403205,93.08094647607528,高波动,0.098,7.924,1.587,39
赤松茸,0.7959999999999999,0.15433299999999997,0.39285238958163404,49.35331527407463,中等波动,0.383,1.165,0.84,3
赤松茸(盒),1.0,0.0,0.0,0.0,低波动,1.0,1.0,1.0,5
辣妹子,1.638972602739726,1.5082486103500767,1.2281077356445878,74.93155978273634,高波动,0.107,7.4,1.275,73
野生粉藕,2.2093478260869563,3.1578602371541504,1.7770369262213295,80.43264646874069,高波动,0.165,6.210999999999999,1.729,23
野藕,2.7074,3.777019756213018,1.9434556223935286,71.78309900249424,高波动,0.295,10.203,2.262,170
金针菇,9.629022346368714,47.845075473380305,6.917013479340654,71.8350548012716,高波动,0.151,71.46300000000001,8.394,537
金针菇(份),1.0,,,,高波动,1.0,1.0,1.0,1
金针菇(盒),36.354312354312356,1095.3227675751036,33.095660857204585,91.03641002655019,高波动,1.0,281.0,27.0,429
金针菇(袋),13.763986013986013,313.90391963553157,17.71733387492406,128.7224053912938,高波动,1.0,279.0,10.0,572
银耳(朵),2.0354609929078014,1.8487335359675792,1.359681409730816,66.79967901464985,高波动,1.0,7.0,2.0,141
长线茄,5.49870704845815,20.327527558581583,4.508605944034318,81.99392883275245,高波动,0.143,50.208,4.471,454
随州泡泡青,4.755077464788733,18.410397135800622,4.290733869141807,90.23478378458853,高波动,0.361,28.465,3.609,142
青尖椒,1.923064829821718,2.034021687348713,1.4261913221404459,74.16241512110979,高波动,0.044,12.215,1.646,617
青尖椒(份),4.829015544041451,10.142487046632128,3.184727154189528,65.9498219698046,高波动,1.0,22.0,4.0,193
青杭椒,1.4012580645161292,1.2225426500701264,1.1056865062349845,78.90670064523704,高波动,0.075,5.8149999999999995,1.233,93
青杭椒(份),4.154545454545454,9.856630525437861,3.139527118124298,75.5684864318759,高波动,1.0,13.0,3.0,110
青梗散花,18.904923423423423,142.84480906410016,11.951770122626195,63.2204101277544,高波动,0.301,88.508,16.756,444
青红尖椒组合装(份),1.875,1.9402173913043474,1.3929168644626095,74.28889943800584,高波动,1.0,6.0,1.0,24
青红杭椒组合装(份),5.5131578947368425,14.920530952932992,3.862710311806076,70.06348059600519,高波动,1.0,24.0,5.0,228
青线椒,2.97159437751004,5.606346517555482,2.3677724801077242,79.68020460759281,高波动,0.093,29.197,2.583,747
青线椒(份),8.239285714285714,39.60920378904248,6.293584335578771,76.38507212666042,高波动,1.0,37.0,7.0,280
青茄子,4.170174353205849,18.07760884456673,4.251777139569609,101.95681953444051,高波动,0.229,34.252,2.7590000000000003,889
青菜苔,10.091666666666667,10.347810333333333,3.2168012579786978,31.87581758525547,中等波动,6.612,12.957,10.706,3
面条菜,0.392,0.09122212500000003,0.3020300067874052,77.04847111923601,高波动,0.122,1.203,0.226,33
马兰头,0.24214285714285713,0.022819362637362648,0.1510607911979897,62.38498751539399,高波动,0.077,0.649,0.21599999999999994,14
马齿苋,1.0141397849462366,0.5287827302477791,0.7271744840461464,71.70357527041469,高波动,0.151,4.011,0.859,93
高瓜,2.3996111929307804,3.6004795890190726,1.8974929746955778,79.07501766476021,高波动,0.157,11.046,1.843,679
鱼腥草,0.9226129032258065,0.43248244516129025,0.6576339750661383,71.27951199975625,高波动,0.159,2.684,0.761,31
鱼腥草(份),3.6153846153846154,10.347048300536677,3.2166828100601834,88.9720777250689,高波动,1.0,22.0,2.5,130
鲜木耳,0.8215221843003413,0.3375849832390482,0.5810206392539323,70.7248873320159,高波动,0.165,5.429,0.702,293
鲜木耳(份),4.071428571428571,6.641278610891864,2.5770678320315636,63.29640289200332,高波动,1.0,19.0,3.0,182
鲜粽叶,0.6676666666666667,0.11725300000000004,0.3424222539497105,51.28640847973697,高波动,0.172,1.395,0.693,9
鲜粽叶(袋),8.0,625.073170731707,25.001463371805,312.5182921475625,高波动,1.0,160.0,2.0,42
鲜粽子叶,0.79,0.17593028571428576,0.41944044358440896,53.093727036001134,高波动,0.349,1.455,0.677,8
鲜藕带(袋),3.0,4.0,2.0,66.66666666666666,高波动,1.0,7.0,3.0,7
鸡枞菌,0.40499999999999997,0.049470999999999994,0.2224207724112116,54.9187092373362,高波动,0.156,0.584,0.475,3
鹿茸菇(盒),1.5,0.5,0.7071067811865476,47.14045207910317,中等波动,1.0,2.0,1.5,2
黄心菜,7.2091233082706765,53.74134462332635,7.330848833752224,101.68849276502037,高波动,0.21,68.96,5.481,665
黄白菜,8.43010973084886,105.48756264701396,10.270713833371756,121.83369091611524,高波动,0.101,187.729,5.539,966
黄花菜,0.29733333333333334,0.05291026666666667,0.23002231775779208,77.3617660620377,高波动,0.074,0.67,0.238,6
黑油菜,3.7453703703703702,31.036238319088316,5.571017709457431,148.74410695213908,高波动,0.253,29.631,2.529,27
黑牛肝菌,0.36133333333333334,0.05740933333333334,0.2396024485128091,66.31064073232724,高波动,0.222,0.638,0.224,3
黑牛肝菌(盒),1.3333333333333333,0.33333333333333337,0.5773502691896258,43.30127018922194,中等波动,1.0,2.0,1.0,3
黑皮鸡枞菌,0.3621875,0.0657085625,0.2563368145624034,70.77461661774727,高波动,0.164,1.104,0.2485,16
黑皮鸡枞菌(盒),1.3333333333333333,0.3333333333333333,0.5773502691896257,43.30127018922193,中等波动,1.0,2.0,1.0,3
龙牙菜,2.9655714285714283,5.499763635944702,2.34515748638438,79.07944700944486,高波动,0.502,10.321,2.193,63
