销售日期,单品名称,分类名称,单品销量(天)
2020-07-03,竹叶菜,花叶类,11.125
2020-07-03,紫茄子,茄类,17.553
2020-07-03,红杭椒,辣椒类,1.904
2020-07-03,红椒,辣椒类,4.738
2020-07-03,红灯笼椒,辣椒类,2.239
2020-07-03,红薯尖,花叶类,13.734
2020-07-03,苋菜,花叶类,7.694
2020-07-03,菜心,花叶类,8.173
2020-07-03,螺丝椒,辣椒类,9.099
2020-07-03,西兰花,花菜类,26.46
2020-07-03,西峡香菇,食用菌,15.29
2020-07-03,金针菇,食用菌,14.633
2020-07-03,青尖椒,辣椒类,2.331
2020-07-03,青梗散花,花菜类,15.616
2020-07-03,青线椒,辣椒类,4.7059999999999995
2020-07-03,青茄子,茄类,18.343
2020-07-03,高瓜,水生根茎类,9.572000000000001
2020-07-03,黄心菜,花叶类,6.943
2020-07-03,黄白菜,花叶类,9.991
2020-07-04,七彩椒,辣椒类,0.6930000000000001
2020-07-04,上海青,花叶类,28.186
2020-07-04,东门口小白菜,花叶类,4.908
2020-07-04,云南油麦菜,花叶类,43.33
2020-07-04,云南生菜,花叶类,51.205
2020-07-04,大白菜,花叶类,9.638
2020-07-04,姬菇,食用菌,1.596
2020-07-04,娃娃菜,花叶类,15.0
2020-07-04,小白菜,花叶类,7.091
2020-07-04,小米椒,辣椒类,3.4210000000000003
2020-07-04,木耳菜,花叶类,4.099
2020-07-04,杏鲍菇,食用菌,13.054
2020-07-04,泡泡椒(精品),辣椒类,45.815
2020-07-04,洪湖藕带,水生根茎类,2.332
2020-07-04,海鲜菇,食用菌,1.3780000000000001
2020-07-04,灯笼椒,辣椒类,0.618
2020-07-04,甜白菜,花叶类,15.843
2020-07-04,竹叶菜,花叶类,20.571
2020-07-04,紫茄子,茄类,33.045
2020-07-04,红杭椒,辣椒类,1.703
2020-07-04,红椒,辣椒类,4.948
2020-07-04,红灯笼椒,辣椒类,0.9450000000000001
2020-07-04,菜心,花叶类,13.034
2020-07-04,螺丝椒,辣椒类,10.682
2020-07-04,西兰花,花菜类,42.815
2020-07-04,西峡香菇,食用菌,14.532
2020-07-04,金针菇,食用菌,16.702
2020-07-04,青尖椒,辣椒类,3.948
2020-07-04,青梗散花,花菜类,12.847
2020-07-04,青线椒,辣椒类,8.509
2020-07-04,青茄子,茄类,24.022
2020-07-04,高瓜,水生根茎类,3.107
2020-07-04,黄心菜,花叶类,5.2509999999999994
2020-07-04,黄白菜,花叶类,18.431
2020-07-05,七彩椒,辣椒类,1.395
2020-07-05,上海青,花叶类,12.038
2020-07-05,东门口小白菜,花叶类,3.625
2020-07-05,云南油麦菜,花叶类,12.594
2020-07-05,云南生菜,花叶类,34.249
2020-07-05,大白菜,花叶类,9.698
2020-07-05,大龙茄子,茄类,10.427
2020-07-05,姬菇,食用菌,1.772
2020-07-05,娃娃菜,花叶类,13.0
2020-07-05,小米椒,辣椒类,3.6990000000000003
2020-07-05,木耳菜,花叶类,3.568
2020-07-05,杏鲍菇,食用菌,14.044
2020-07-05,泡泡椒(精品),辣椒类,53.874
2020-07-05,灯笼椒,辣椒类,0.626
2020-07-05,甜白菜,花叶类,17.408
2020-07-05,竹叶菜,花叶类,30.937
2020-07-05,紫茄子,茄类,26.966
2020-07-05,红杭椒,辣椒类,2.56
2020-07-05,红椒,辣椒类,7.412
2020-07-05,红灯笼椒,辣椒类,1.282
2020-07-05,红薯尖,花叶类,55.159
2020-07-05,苋菜,花叶类,6.021
2020-07-05,菜心,花叶类,10.791
2020-07-05,螺丝椒,辣椒类,15.638
2020-07-05,西兰花,花菜类,42.365
2020-07-05,西峡香菇,食用菌,18.406
2020-07-05,金针菇,食用菌,18.991
2020-07-05,金针菇(袋),食用菌,20.0
2020-07-05,青尖椒,辣椒类,3.535
2020-07-05,青梗散花,花菜类,13.109
2020-07-05,青线椒,辣椒类,8.475
2020-07-05,青茄子,茄类,24.423000000000002
2020-07-05,高瓜,水生根茎类,4.019
2020-07-05,黄白菜,花叶类,14.811
2020-07-06,七彩椒,辣椒类,1.2730000000000001
2020-07-06,上海青,花叶类,13.458
2020-07-06,云南油麦菜,花叶类,11.053
2020-07-06,云南生菜,花叶类,36.532
2020-07-06,外地茼蒿,花叶类,5.682
2020-07-06,大白菜,花叶类,14.098
2020-07-06,大龙茄子,茄类,5.333
2020-07-06,姬菇,食用菌,1.103
2020-07-06,娃娃菜,花叶类,10.0
2020-07-06,小白菜,花叶类,6.496
2020-07-06,小米椒,辣椒类,3.064
2020-07-06,木耳菜,花叶类,3.539
2020-07-06,杏鲍菇,食用菌,9.012
2020-07-06,泡泡椒(精品),辣椒类,26.296
2020-07-06,海鲜菇,食用菌,1.202
2020-07-06,灯笼椒,辣椒类,1.127
2020-07-06,甜白菜,花叶类,40.201
2020-07-06,竹叶菜,花叶类,14.131
2020-07-06,紫茄子,茄类,8.96
2020-07-06,红杭椒,辣椒类,2.0140000000000002
2020-07-06,红椒,辣椒类,4.308
2020-07-06,红灯笼椒,辣椒类,1.234
2020-07-06,红薯尖,花叶类,15.903
2020-07-06,苋菜,花叶类,5.854
2020-07-06,菜心,花叶类,10.162
2020-07-06,螺丝椒,辣椒类,10.36
2020-07-06,西兰花,花菜类,24.434
2020-07-06,西峡香菇,食用菌,13.35
2020-07-06,金针菇,食用菌,11.911
2020-07-06,金针菇(袋),食用菌,4.0
2020-07-06,青尖椒,辣椒类,3.896
2020-07-06,青梗散花,花菜类,18.287
2020-07-06,青线椒,辣椒类,5.11
2020-07-06,青茄子,茄类,16.434
2020-07-06,高瓜,水生根茎类,3.089
2020-07-06,黄白菜,花叶类,8.631
2020-07-07,七彩椒,辣椒类,1.323
2020-07-07,上海青,花叶类,9.861
2020-07-07,东门口小白菜,花叶类,1.266
2020-07-07,云南油麦菜,花叶类,28.214
2020-07-07,云南生菜,花叶类,30.058
2020-07-07,外地茼蒿,花叶类,3.416
2020-07-07,大白菜,花叶类,14.828
2020-07-07,姬菇,食用菌,1.137
2020-07-07,娃娃菜,花叶类,10.0
2020-07-07,小白菜,花叶类,6.929
2020-07-07,小米椒,辣椒类,2.738
2020-07-07,平菇,食用菌,0.424
2020-07-07,木耳菜,花叶类,5.059
2020-07-07,杏鲍菇,食用菌,13.453
2020-07-07,泡泡椒(精品),辣椒类,8.51
2020-07-07,海鲜菇,食用菌,2.2159999999999997
2020-07-07,灯笼椒,辣椒类,1.787
2020-07-07,甜白菜,花叶类,8.107
2020-07-07,竹叶菜,花叶类,11.756
2020-07-07,紫茄子,茄类,14.6
2020-07-07,红杭椒,辣椒类,2.3529999999999998
2020-07-07,红椒,辣椒类,4.158
2020-07-07,红灯笼椒,辣椒类,1.374
2020-07-07,红薯尖,花叶类,14.121
2020-07-07,苋菜,花叶类,8.062
2020-07-07,菜心,花叶类,11.478
2020-07-07,螺丝椒,辣椒类,11.96
2020-07-07,西兰花,花菜类,23.05
2020-07-07,西峡香菇,食用菌,14.533
2020-07-07,金针菇,食用菌,16.797
2020-07-07,金针菇(袋),食用菌,4.0
2020-07-07,青尖椒,辣椒类,3.784
2020-07-07,青梗散花,花菜类,22.699
2020-07-07,青线椒,辣椒类,4.226
2020-07-07,青茄子,茄类,17.512
2020-07-07,高瓜,水生根茎类,3.117
2020-07-07,黄白菜,花叶类,8.897
2020-07-08,七彩椒,辣椒类,1.08
2020-07-08,上海青,花叶类,12.568999999999999
2020-07-08,云南油麦菜,花叶类,9.732
2020-07-08,云南生菜,花叶类,21.339
2020-07-08,净藕,水生根茎类,8.239
2020-07-08,南瓜尖,花叶类,4.875
2020-07-08,外地茼蒿,花叶类,1.146
2020-07-08,大白菜,花叶类,6.8100000000000005
2020-07-08,姬菇,食用菌,0.908
2020-07-08,娃娃菜,花叶类,6.0
2020-07-08,小白菜,花叶类,5.33
2020-07-08,小米椒,辣椒类,3.165
2020-07-08,木耳菜,花叶类,4.429
2020-07-08,杏鲍菇,食用菌,12.148
2020-07-08,泡泡椒(精品),辣椒类,22.055
2020-07-08,海鲜菇,食用菌,1.639
2020-07-08,灯笼椒,辣椒类,0.985
2020-07-08,甜白菜,花叶类,15.712
2020-07-08,竹叶菜,花叶类,7.9270000000000005
2020-07-08,紫茄子,茄类,18.588
2020-07-08,红杭椒,辣椒类,2.697
2020-07-08,红椒,辣椒类,4.67
2020-07-08,红灯笼椒,辣椒类,1.859
2020-07-08,红薯尖,花叶类,18.985
2020-07-08,苋菜,花叶类,9.079
2020-07-08,菜心,花叶类,8.835
2020-07-08,螺丝椒,辣椒类,20.043
2020-07-08,西兰花,花菜类,24.641000000000002
2020-07-08,西峡香菇,食用菌,14.827
2020-07-08,金针菇,食用菌,14.446
2020-07-08,青尖椒,辣椒类,5.554
2020-07-08,青梗散花,花菜类,20.792
2020-07-08,青线椒,辣椒类,3.7720000000000002
2020-07-08,青茄子,茄类,21.082
2020-07-08,高瓜,水生根茎类,2.366
2020-07-08,黄心菜,花叶类,6.102
2020-07-08,黄白菜,花叶类,13.7
2020-07-09,七彩椒,辣椒类,0.379
2020-07-09,上海青,花叶类,10.182
2020-07-09,云南油麦菜,花叶类,14.213000000000001
2020-07-09,云南生菜,花叶类,33.109
2020-07-09,外地茼蒿,花叶类,1.123
2020-07-09,大白菜,花叶类,23.142
2020-07-09,大龙茄子,茄类,7.755
2020-07-09,姬菇,食用菌,1.3599999999999999
2020-07-09,娃娃菜,花叶类,9.0
2020-07-09,小白菜,花叶类,3.761
2020-07-09,小米椒,辣椒类,1.875
2020-07-09,木耳菜,花叶类,4.013
2020-07-09,杏鲍菇,食用菌,10.299
2020-07-09,泡泡椒(精品),辣椒类,31.46
2020-07-09,海鲜菇,食用菌,1.5430000000000001
2020-07-09,灯笼椒,辣椒类,1.252
2020-07-09,甜白菜,花叶类,13.772
2020-07-09,竹叶菜,花叶类,17.546
2020-07-09,紫茄子,茄类,9.949
2020-07-09,红杭椒,辣椒类,1.888
2020-07-09,红椒,辣椒类,3.924
2020-07-09,红灯笼椒,辣椒类,0.156
2020-07-09,红薯尖,花叶类,19.198
2020-07-09,苋菜,花叶类,9.78
2020-07-09,菜心,花叶类,8.685
2020-07-09,螺丝椒,辣椒类,9.917
2020-07-09,西兰花,花菜类,25.205000000000002
2020-07-09,西峡香菇,食用菌,10.544
2020-07-09,金针菇,食用菌,14.091
2020-07-09,青尖椒,辣椒类,3.058
2020-07-09,青梗散花,花菜类,15.926
2020-07-09,青线椒,辣椒类,4.951
2020-07-09,青茄子,茄类,8.217
2020-07-09,高瓜,水生根茎类,2.106
2020-07-09,黄心菜,花叶类,11.616999999999999
2020-07-09,黄白菜,花叶类,8.298
2020-07-10,七彩椒,辣椒类,1.052
2020-07-10,上海青,花叶类,12.777000000000001
2020-07-10,云南油麦菜,花叶类,28.278
2020-07-10,云南生菜,花叶类,13.582
2020-07-10,净藕,水生根茎类,6.45
2020-07-10,外地茼蒿,花叶类,0.835
2020-07-10,大白菜,花叶类,16.759
2020-07-10,大龙茄子,茄类,7.046
2020-07-10,姬菇,食用菌,1.4649999999999999
2020-07-10,娃娃菜,花叶类,14.0
2020-07-10,小白菜,花叶类,7.828
2020-07-10,小米椒,辣椒类,3.835
2020-07-10,木耳菜,花叶类,2.378
2020-07-10,杏鲍菇,食用菌,11.479
2020-07-10,泡泡椒(精品),辣椒类,21.454
2020-07-10,海鲜菇,食用菌,1.858
2020-07-10,牛首油菜,花叶类,0.538
2020-07-10,甜白菜,花叶类,13.334
2020-07-10,竹叶菜,花叶类,19.284
2020-07-10,紫茄子,茄类,15.789
2020-07-10,红杭椒,辣椒类,1.841
2020-07-10,红椒,辣椒类,2.605
2020-07-10,红薯尖,花叶类,17.277
2020-07-10,苋菜,花叶类,7.069
2020-07-10,菜心,花叶类,11.507
2020-07-10,螺丝椒,辣椒类,21.339
2020-07-10,蟹味菇,食用菌,4.0
2020-07-10,西兰花,花菜类,27.932
2020-07-10,西峡香菇,食用菌,10.17
2020-07-10,金针菇,食用菌,12.457
2020-07-10,青尖椒,辣椒类,2.933
2020-07-10,青梗散花,花菜类,34.412
2020-07-10,青线椒,辣椒类,3.877
2020-07-10,青茄子,茄类,15.025
2020-07-10,高瓜,水生根茎类,2.575
2020-07-10,黄心菜,花叶类,2.783
2020-07-10,黄白菜,花叶类,11.604
2020-07-11,七彩椒,辣椒类,1.602
2020-07-11,上海青,花叶类,22.47
2020-07-11,东门口小白菜,花叶类,9.99
2020-07-11,云南油麦菜,花叶类,48.585
2020-07-11,云南生菜,花叶类,20.063
2020-07-11,净藕,水生根茎类,7.464
2020-07-11,外地茼蒿,花叶类,6.603
2020-07-11,大白菜,花叶类,7.665
2020-07-11,姬菇,食用菌,1.803
2020-07-11,娃娃菜,花叶类,16.0
2020-07-11,小白菜,花叶类,7.743
2020-07-11,小米椒,辣椒类,4.151
2020-07-11,木耳菜,花叶类,2.98
2020-07-11,杏鲍菇,食用菌,13.952
2020-07-11,泡泡椒(精品),辣椒类,23.279
2020-07-11,海鲜菇,食用菌,2.192
2020-07-11,灯笼椒,辣椒类,3.081
2020-07-11,甜白菜,花叶类,38.074
2020-07-11,竹叶菜,花叶类,23.588
2020-07-11,紫茄子,茄类,34.025
2020-07-11,红杭椒,辣椒类,3.436
2020-07-11,红椒,辣椒类,5.561
2020-07-11,红灯笼椒,辣椒类,1.613
2020-07-11,红薯尖,花叶类,14.35
2020-07-11,苋菜,花叶类,8.534
2020-07-11,菜心,花叶类,12.673
2020-07-11,螺丝椒,辣椒类,36.705
2020-07-11,西兰花,花菜类,36.721000000000004
2020-07-11,西峡香菇,食用菌,19.213
2020-07-11,金针菇,食用菌,15.078
2020-07-11,青梗散花,花菜类,39.842999999999996
2020-07-11,青线椒,辣椒类,6.508
2020-07-11,青茄子,茄类,34.252
2020-07-11,高瓜,水生根茎类,1.464
2020-07-11,黄白菜,花叶类,31.025
2020-07-12,七彩椒,辣椒类,1.771
2020-07-12,上海青,花叶类,13.802
2020-07-12,东门口小白菜,花叶类,6.1259999999999994
2020-07-12,云南油麦菜,花叶类,66.768
2020-07-12,云南生菜,花叶类,30.038
2020-07-12,净藕,水生根茎类,9.317
2020-07-12,外地茼蒿,花叶类,2.376
2020-07-12,大白菜,花叶类,17.036
2020-07-12,大龙茄子,茄类,16.695
2020-07-12,姬菇,食用菌,1.78
2020-07-12,娃娃菜,花叶类,15.0
2020-07-12,小白菜,花叶类,6.829
2020-07-12,小米椒,辣椒类,5.121
2020-07-12,木耳菜,花叶类,5.1739999999999995
2020-07-12,杏鲍菇,食用菌,19.148
2020-07-12,泡泡椒(精品),辣椒类,37.995
2020-07-12,洪湖藕带,水生根茎类,2.773
2020-07-12,海鲜菇,食用菌,2.108
2020-07-12,灯笼椒,辣椒类,1.185
2020-07-12,甜白菜,花叶类,30.467
2020-07-12,白玉菇,食用菌,4.0
2020-07-12,竹叶菜,花叶类,33.063
2020-07-12,紫茄子,茄类,41.141
2020-07-12,红杭椒,辣椒类,2.571
2020-07-12,红椒,辣椒类,6.251
2020-07-12,红灯笼椒,辣椒类,1.275
2020-07-12,红薯尖,花叶类,13.096
2020-07-12,苋菜,花叶类,8.131
2020-07-12,菜心,花叶类,19.449
2020-07-12,螺丝椒,辣椒类,6.255
2020-07-12,西兰花,花菜类,40.69
2020-07-12,西峡香菇,食用菌,15.752
2020-07-12,金针菇,食用菌,13.172
2020-07-12,青尖椒,辣椒类,3.524
2020-07-12,青梗散花,花菜类,30.925
2020-07-12,青线椒,辣椒类,6.22
2020-07-12,青茄子,茄类,23.87
2020-07-12,高瓜,水生根茎类,1.904
2020-07-12,黄白菜,花叶类,32.833999999999996
2020-07-13,七彩椒,辣椒类,0.879
2020-07-13,上海青,花叶类,12.507
2020-07-13,东门口小白菜,花叶类,7.318
2020-07-13,云南油麦菜,花叶类,25.289
2020-07-13,云南生菜,花叶类,32.985
2020-07-13,净藕,水生根茎类,8.507
2020-07-13,大白菜,花叶类,18.292
2020-07-13,大龙茄子,茄类,8.609
2020-07-13,姬菇,食用菌,1.309
2020-07-13,娃娃菜,花叶类,8.0
2020-07-13,小白菜,花叶类,3.605
2020-07-13,小米椒,辣椒类,3.457
2020-07-13,木耳菜,花叶类,3.153
2020-07-13,杏鲍菇,食用菌,12.641
2020-07-13,泡泡椒(精品),辣椒类,28.12
2020-07-13,海鲜菇,食用菌,2.0349999999999997
2020-07-13,灯笼椒,辣椒类,1.654
2020-07-13,甜白菜,花叶类,34.037
2020-07-13,竹叶菜,花叶类,12.389
2020-07-13,紫茄子,茄类,19.637999999999998
2020-07-13,红杭椒,辣椒类,1.9449999999999998
2020-07-13,红椒,辣椒类,4.6770000000000005
2020-07-13,红灯笼椒,辣椒类,0.718
2020-07-13,红薯尖,花叶类,15.786
2020-07-13,菜心,花叶类,6.279
2020-07-13,螺丝椒,辣椒类,11.827
2020-07-13,西兰花,花菜类,15.624
2020-07-13,西峡香菇,食用菌,13.317
2020-07-13,金针菇,食用菌,12.811
2020-07-13,青尖椒,辣椒类,3.447
2020-07-13,青梗散花,花菜类,16.404
2020-07-13,青线椒,辣椒类,4.516
2020-07-13,青茄子,茄类,16.132
2020-07-13,高瓜,水生根茎类,3.098
2020-07-13,黄白菜,花叶类,11.192
2020-07-14,七彩椒,辣椒类,0.406
2020-07-14,上海青,花叶类,10.514000000000001
2020-07-14,东门口小白菜,花叶类,4.301
2020-07-14,云南油麦菜,花叶类,32.024
2020-07-14,云南生菜,花叶类,25.063
2020-07-14,净藕,水生根茎类,7.684
2020-07-14,大白菜,花叶类,13.620000000000001
2020-07-14,大龙茄子,茄类,5.9830000000000005
2020-07-14,姬菇,食用菌,1.1440000000000001
2020-07-14,娃娃菜,花叶类,15.0
2020-07-14,小白菜,花叶类,4.631
2020-07-14,小米椒,辣椒类,2.997
2020-07-14,木耳菜,花叶类,4.07
2020-07-14,杏鲍菇,食用菌,10.63
2020-07-14,泡泡椒(精品),辣椒类,28.133
2020-07-14,海鲜菇,食用菌,1.141
2020-07-14,海鲜菇(袋),食用菌,2.0
2020-07-14,灯笼椒,辣椒类,2.0949999999999998
2020-07-14,甜白菜,花叶类,16.505
2020-07-14,白玉菇,食用菌,4.0
2020-07-14,竹叶菜,花叶类,11.935
2020-07-14,紫茄子,茄类,13.059
2020-07-14,红杭椒,辣椒类,1.52
2020-07-14,红椒,辣椒类,2.6630000000000003
2020-07-14,红灯笼椒,辣椒类,1.385
2020-07-14,红薯尖,花叶类,36.337
2020-07-14,菜心,花叶类,9.826
2020-07-14,螺丝椒,辣椒类,21.389
2020-07-14,西兰花,花菜类,27.221
2020-07-14,西峡香菇,食用菌,12.269
2020-07-14,金针菇,食用菌,13.652000000000001
2020-07-14,青尖椒,辣椒类,2.608
2020-07-14,青梗散花,花菜类,30.354
2020-07-14,青线椒,辣椒类,3.549
2020-07-14,青茄子,茄类,15.705
2020-07-14,高瓜,水生根茎类,1.323
2020-07-14,黄白菜,花叶类,6.773
2020-07-15,七彩椒,辣椒类,0.45
2020-07-15,上海青,花叶类,15.176
2020-07-15,东门口小白菜,花叶类,2.922
2020-07-15,云南油麦菜,花叶类,43.618
2020-07-15,云南生菜,花叶类,23.584
2020-07-15,净藕,水生根茎类,8.422
2020-07-15,大白菜,花叶类,31.647
2020-07-15,大龙茄子,茄类,9.692
2020-07-15,姬菇,食用菌,1.481
2020-07-15,娃娃菜,花叶类,12.0
2020-07-15,小米椒,辣椒类,1.188
2020-07-15,木耳菜,花叶类,5.904
2020-07-15,杏鲍菇,食用菌,14.227
2020-07-15,泡泡椒(精品),辣椒类,35.74
2020-07-15,海鲜菇,食用菌,1.875
2020-07-15,海鲜菇(袋),食用菌,1.0
2020-07-15,灯笼椒,辣椒类,0.451
2020-07-15,甜白菜,花叶类,22.96
2020-07-15,白玉菇,食用菌,3.0
2020-07-15,竹叶菜,花叶类,14.196
2020-07-15,紫茄子,茄类,13.849
2020-07-15,红杭椒,辣椒类,2.1310000000000002
2020-07-15,红椒,辣椒类,4.702
2020-07-15,红灯笼椒,辣椒类,0.6920000000000001
2020-07-15,红薯尖,花叶类,15.602
2020-07-15,菜心,花叶类,10.688
2020-07-15,螺丝椒,辣椒类,19.574
2020-07-15,西兰花,花菜类,18.8
2020-07-15,西峡香菇,食用菌,7.755
2020-07-15,金针菇,食用菌,12.858
2020-07-15,青尖椒,辣椒类,4.662
2020-07-15,青梗散花,花菜类,19.162
2020-07-15,青线椒,辣椒类,3.7640000000000002
2020-07-15,青茄子,茄类,14.629
2020-07-15,高瓜,水生根茎类,1.816
2020-07-15,黄白菜,花叶类,19.145
2020-07-16,七彩椒,辣椒类,0.661
2020-07-16,上海青,花叶类,13.959
2020-07-16,东门口小白菜,花叶类,2.883
2020-07-16,云南油麦菜,花叶类,44.285
2020-07-16,云南生菜,花叶类,25.015
2020-07-16,净藕,水生根茎类,8.467
2020-07-16,大白菜,花叶类,22.319
2020-07-16,大龙茄子,茄类,8.89
2020-07-16,姬菇,食用菌,0.9870000000000001
2020-07-16,姬菇(包),食用菌,4.0
2020-07-16,娃娃菜,花叶类,11.0
2020-07-16,小白菜,花叶类,6.637
2020-07-16,小米椒,辣椒类,2.589
2020-07-16,木耳菜,花叶类,7.3100000000000005
2020-07-16,杏鲍菇,食用菌,10.676
2020-07-16,泡泡椒(精品),辣椒类,34.817
2020-07-16,海鲜菇,食用菌,1.897
2020-07-16,灯笼椒,辣椒类,0.6719999999999999
2020-07-16,甜白菜,花叶类,15.691
2020-07-16,白玉菇,食用菌,5.0
2020-07-16,竹叶菜,花叶类,18.904
2020-07-16,紫茄子,茄类,7.693
2020-07-16,红杭椒,辣椒类,1.224
2020-07-16,红椒,辣椒类,4.206
2020-07-16,红灯笼椒,辣椒类,1.934
2020-07-16,红薯尖,花叶类,15.77
2020-07-16,菜心,花叶类,11.277
2020-07-16,螺丝椒,辣椒类,19.027
2020-07-16,西兰花,花菜类,23.379
2020-07-16,西峡香菇,食用菌,15.428
2020-07-16,金针菇,食用菌,15.270999999999999
2020-07-16,青尖椒,辣椒类,2.467
2020-07-16,青梗散花,花菜类,16.071
2020-07-16,青线椒,辣椒类,5.059
2020-07-16,青茄子,茄类,10.003
2020-07-16,高瓜,水生根茎类,2.887
2020-07-16,黄白菜,花叶类,17.476
2020-07-17,七彩椒,辣椒类,1.798
2020-07-17,上海青,花叶类,8.591
2020-07-17,东门口小白菜,花叶类,6.881
2020-07-17,云南油麦菜,花叶类,35.251
2020-07-17,云南生菜,花叶类,27.073
2020-07-17,净藕,水生根茎类,7.809
2020-07-17,大白菜,花叶类,26.681
2020-07-17,大龙茄子,茄类,13.39
2020-07-17,姬菇,食用菌,1.2530000000000001
2020-07-17,姬菇(包),食用菌,2.0
2020-07-17,娃娃菜,花叶类,11.0
2020-07-17,小白菜,花叶类,4.071
2020-07-17,小米椒,辣椒类,2.32
2020-07-17,木耳菜,花叶类,5.16
2020-07-17,杏鲍菇,食用菌,11.403
2020-07-17,泡泡椒(精品),辣椒类,27.92
2020-07-17,海鲜菇,食用菌,2.108
2020-07-17,灯笼椒,辣椒类,0.732
2020-07-17,甜白菜,花叶类,14.777
2020-07-17,白玉菇,食用菌,4.0
2020-07-17,竹叶菜,花叶类,13.243
2020-07-17,紫茄子,茄类,15.891
2020-07-17,红杭椒,辣椒类,1.575
2020-07-17,红椒,辣椒类,3.873
2020-07-17,红灯笼椒,辣椒类,3.901
2020-07-17,红薯尖,花叶类,16.789
2020-07-17,苋菜,花叶类,6.807
2020-07-17,菜心,花叶类,10.725999999999999
2020-07-17,螺丝椒,辣椒类,11.549
2020-07-17,西兰花,花菜类,25.149
2020-07-17,西峡香菇,食用菌,15.599
