文物采样点,类型,表面风化,原始状态,预测状态,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2)
26,铅钡,风化,风化,未风化(预测),41.08367140937755,2.818930208530818,1.3709443404200443,0.9337878429642723,2.818930208530818,0.9772034254230557,4.6050460047397,6.854262152869694,12.622958054650532,20.91295689972069,0.6195815348365266,0.29180870092633515,2.818930208530818,1.2709890084791486
26严重风化点,铅钡,风化,风化,未风化(预测),10.480146319301733,3.569429303956491,0.17119148826657113,2.6488244250785726,3.569429303956491,2.23547543221932,5.831072406703021,3.1680292127185585,17.356423350756884,31.19628766413137,1.622527329302694,0.5456050310793074,3.569429303956491,14.036129428572504
27,高钾,风化,风化,未风化(预测),58.292066199765024,2.521211700815653,11.014150658964942,5.808092709379766,0.9427573663761891,7.838889332638997,1.3130109537893297,2.688604341146909,0.9393209398265385,2.521211700815653,0.6285049109174592,0.44975578393223037,2.521211700815653,2.521211700815653
34,铅钡,风化,风化,未风化(预测),67.67951283343201,1.0377381034351918,0.0718380716959515,0.46086503580191746,1.0377381034351918,2.0606080401893494,0.45365600685622154,0.8921874411037121,18.130543046983266,5.9085261000245834,0.06132343597165794,0.12998757420054083,1.0377381034351918,1.0377381034351918
36,铅钡,风化,风化,未风化(预测),71.88876099044381,1.259824916179787,0.038638544108422115,0.2099708193632978,0.7056826677144594,1.9546923746576972,0.2966585343370893,0.3858923166676824,15.565637184923217,6.1459026316338266,0.01212617032578916,0.12484751421601493,0.7056826677144594,0.7056826677144594
38,铅钡,风化,风化,未风化(预测),64.14106934528692,0.839625891438887,0.6186996713307421,0.4137287001293068,1.2721677621047331,3.366208997952332,0.2882400891287795,0.444149928079991,19.776694608397914,5.9564764327439885,0.08914898000132129,0.24945406919561133,1.2721677621047331,1.2721677621047331
39,铅钡,风化,风化,未风化(预测),55.00678152053818,1.8457414574283377,0.8976486176501806,0.7265611576161375,1.8457414574283377,0.7045639518412546,3.0152304936782097,0.5760124492812619,26.333254495824658,4.725920322512173,0.2317798044564442,0.39928135688814753,1.8457414574283377,1.8457414574283377
40,铅钡,风化,风化,未风化(预测),42.95595827058467,2.004913603834025,0.9750595988114058,1.5015881732605438,2.004913603834025,0.7778985527459134,0.24923698155136378,2.004913603834025,37.16380513605388,5.371991913964192,0.43386129085408404,0.5460320630038342,2.004913603834025,2.004913603834025
41,铅钡,风化,风化,未风化(预测),46.19726807906583,2.357918710193334,0.16727654262369324,3.8772923142670948,2.134074197167171,5.603925054485455,2.28585958023783,0.14852531042555395,22.73496763280278,7.62951068291267,1.7801397601687186,0.36740471526321256,2.357918710193334,2.357918710193334
43部位1,铅钡,风化,风化,未风化(预测),33.4115568266341,3.1565381932234913,1.5351349097694937,4.406750762650864,0.7484748432746695,4.073530165111879,1.0441200683838106,4.4992588893477325,33.1790024707004,6.1307658510925185,0.9635615325822923,0.5382291007817849,3.1565381932234913,3.1565381932234913
43部位2,铅钡,风化,风化,未风化(预测),50.082436674212715,2.8172957925980726,1.3701494667952527,4.613897702614141,0.6848754402317864,5.292289383896114,1.6370141639408455,1.088591489210524,21.266351883548644,2.350204142269078,2.8234691629509454,0.33883311253572596,2.8172957925980726,2.8172957925980726
48,铅钡,风化,风化,未风化(预测),73.76453063555208,0.3456433910285187,0.06723938738179794,1.2183929533755287,0.6653635277298986,12.696152749227016,0.7269844884181422,1.0319904318630284,4.47431364021851,3.1583164855230903,0.14507726531375098,0.1080135596964121,0.5659910528091996,1.0319904318630284
49,铅钡,风化,风化,未风化(预测),56.74503237436379,2.643457058022305,1.2856056109058085,2.8197715982367213,0.9050358623161527,7.130696409992976,2.755806157465994,0.43096945824578703,13.871789212995566,3.755590993284716,2.086122646992639,0.2832085011329458,2.643457058022305,2.643457058022305
50,铅钡,风化,风化,未风化(预测),46.80346270617585,2.3949652235376284,1.1647553418582066,2.5938284614740432,0.38216281407297814,3.273357142993802,0.4383430828503441,0.9188169785158835,23.583877668783142,11.54619565922615,1.573650308993794,0.5366541644429056,2.3949652235376284,2.3949652235376284
51部位1,铅钡,风化,风化,未风化(预测),54.28425562634415,2.262787457348948,1.1004726718093518,2.4666502266074524,0.8199200473918626,7.787266981170078,1.3394334939621488,0.9439415671654218,18.276561180355543,6.1597354820867665,1.7036405472690106,0.2687132928427114,0.32383396829762645,2.262787457348948
51部位2,铅钡,风化,风化,未风化(预测),48.88368465421739,2.807661553025502,1.3654639991748425,3.6689829213889253,1.0370419563380004,3.8645885583531236,0.4907126627018547,0.5364010118989657,24.204502361767148,2.807661553025502,1.9103141090322597,2.807661553025502,2.807661553025502,2.807661553025502
52,铅钡,风化,风化,未风化(预测),59.84438124297839,0.8860065646263524,0.7952172231784778,1.6485531981162462,0.3994291889708966,1.813578319856692,0.27286924832463405,0.5083644223265955,22.70129473977713,6.274669441288267,1.265848182662013,0.3195433511767173,1.6351224383587888,1.6351224383587888
54,铅钡,风化,风化,未风化(预测),48.6181034432747,2.2387438375341127,0.10607928286923819,2.1743816808874747,0.8724791697604916,6.08967914999125,3.6572449837434067,0.5657482116415686,24.9193627047988,4.798635433682703,0.8822249975377174,0.5998294292103379,2.2387438375341127,2.2387438375341127
54严重风化点,铅钡,风化,风化,未风化(预测),37.73965769515563,3.492162569124656,1.6983607807954104,3.492162569124656,0.7647741439577564,5.413826074567364,5.704848327986978,0.9232408584715258,26.55100701681202,3.492162569124656,2.9718082555195218,0.7716640011105289,3.492162569124656,3.492162569124656
56,铅钡,风化,风化,未风化(预测),52.23450694741758,2.8251377337008154,1.3739632769918222,0.6772773962033612,2.8251377337008154,2.229226292997608,4.61518670949958,0.44218937438070693,15.220086923401862,8.647880802761927,0.4339936078414663,2.8251377337008154,2.8251377337008154,2.8251377337008154
57,铅钡,风化,风化,未风化(预测),44.5330253206902,3.476158621506773,1.6905775013993054,0.7168696921820984,3.476158621506773,2.5681869500451118,5.678704042890894,0.6347853762833848,16.268871713265582,9.467057766984961,1.0611285287245886,3.476158621506773,3.476158621506773,3.476158621506773
58,铅钡,风化,风化,未风化(预测),61.02590290195574,1.8802201204056335,0.10371944891708773,2.1891282788965367,0.4955333353376115,4.753239143076262,0.881239357083176,1.9633156197553463,16.270559582466255,4.804791580615321,1.7213686179189718,0.1505417727607933,1.8802201204056335,1.8802201204056335
