文物编号,纹饰,类型,颜色,表面风化,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),亚类
16,C,高钾,浅蓝,无风化,2.42906405374563,-0.1763485648091335,0.3627819388833567,2.755497044409254,-0.0097250491975793,2.481143359247908,1.2739718322837097,3.268365479442862,4.291680401723627,3.881970985265183,3.1312952189252528,3.2942555068475503,3.049887962025876,高钾-亚类1
18,A,高钾,深蓝,无风化,5.674470041060172,-1.5350442592498643,4.0176091428953615,-0.5326983813854524,-1.0647121942907811,3.511501877313469,3.041049831190211,2.6819538592947514,2.398812456760388,-1.6031807233111086,1.3769447561666748,-2.1133048443866533,2.3877861000995,高钾-亚类2
19,A,铅钡,浅蓝,风化,4.977171573420099,2.8735713477170473,-2.0597548060946846,-0.1620387433268514,-1.7756528092989536,-0.5865581165886065,-1.4157350112165823,-3.606893318028894,-1.2529287924093542,-1.611057225214392,2.204766425860577,3.938989902876276,3.6467960248839866,铅钡-亚类1
20,A,铅钡,浅蓝,无风化,5.14084969042552,0.2677792353391373,3.0534403898872204,2.3651847557340573,-2.948380295929577,-1.3035405377088083,-2.2068060724726375,-2.5737290669039417,-3.1834457461753796,-1.5352233601028409,3.7675527953047623,3.465644514588837,3.208563350272833,铅钡-亚类1
21,A,高钾,蓝绿,无风化,5.649287965907923,3.261617927846652,-2.1964541266859667,-0.4931406631837086,-1.8852269436347808,-0.7044784930644943,-0.9140624066861496,0.313782248323868,-0.3625837225708905,0.2276356093049039,3.7933366926249374,3.4893622505217605,3.230521706920631,高钾-亚类1
22,B,高钾,蓝绿,风化,5.780770786759806,0.6034469650699326,-0.2729801372085551,0.6410332589683252,-1.0276119529334975,1.263288946298912,0.6712469505736468,3.4692692964714578,3.10300879166522,0.8149832289763868,2.744050250306056,2.5241591065640367,2.336917235880911,高钾-亚类1
23,A,铅钡,蓝绿,风化,1.3546018942458855,5.451664495994109,1.2944948159819916,0.6890743321282327,-0.0701270745852223,3.644304404097427,-1.2824173938859549,-2.7684214985121045,-2.135702434435076,3.906073935706566,1.1329227805334632,3.483447487201419,3.2250457001532618,铅钡-亚类2
24,C,铅钡,紫,无风化,5.030016733689651,2.9040815152240422,-0.4533327138666796,2.237891276369098,-1.927766092678088,2.1790019775196705,-3.5243083316037955,-4.274178783478995,-3.723132644182463,1.6217854161477436,-0.3116333847612039,3.129206906460947,2.897082650348631,铅钡-亚类3
25,C,铅钡,浅蓝,风化,2.18276909713153,4.923765950527019,0.7210655532370636,3.4096319133586195,-1.1336443200190065,-0.7696083153578482,-0.3625596802895584,-3.4774765274441912,-1.622824439220489,1.9219914323279192,1.705420514203342,3.528939474335056,3.2671630962201768,铅钡-亚类2
26,C,铅钡,紫,风化,4.3232066115200505,0.8301711700940073,-1.4994042598403343,2.8182448017860593,-0.9740958638725437,2.498380663382881,-3.0818044878912048,-4.069892333063024,-3.7635042899245703,-1.4981040359111633,0.6892445795749146,3.539541553907774,-2.352388822820318,铅钡-亚类3
27,B,高钾,蓝绿,风化,5.783598147840644,3.3391619475404166,-0.7459674567406677,-0.0820333130754893,-1.4695777052553218,1.100046388751212,-0.956718662377818,3.004273074100173,2.6871035266641,-0.075130237208892,2.4475414041453583,2.251410637715901,2.0844012212391188,高钾-亚类1
28,A,铅钡,浅蓝,风化,5.5651723577159675,1.3330009030891892,-0.477485342613089,-0.1080868952919322,-1.5009774057373657,0.9896664952657452,1.060121578531835,-2.789229465389365,-1.123753824093249,0.2773980170835834,2.3207773447102364,1.509740347542984,3.4984319202359218,铅钡-亚类1
29,A,铅钡,浅蓝,风化,2.9919575449332996,2.6423663736222776,-0.1198691700763754,0.5271194257718416,-1.63660118004415,1.2774171571868378,1.190822257163746,-1.6005171632104958,0.2783380771613651,1.7769573555786875,2.095768304331033,4.102396606447815,3.798081235488093,铅钡-亚类2
30,A,铅钡,深蓝,无风化,5.107423117760297,0.2542507124872832,-1.3991340389299318,0.4975730921233576,-1.1516176238460227,-0.4878736452879248,3.8219783966048246,-3.5116468412039463,-1.8923931495122448,0.8470175127581383,1.2805767499656402,1.166452930724011,3.7608802669026633,铅钡-亚类3
31,C,铅钡,紫,无风化,5.542266829115229,3.1998292457104105,-1.3051113093326805,-0.4863198334021456,-1.539222916657599,-1.6612630273504756,0.7547202398660898,-2.7543133903859403,-0.9677006196257354,-0.1628771666256322,1.465918242201082,3.698187702023021,3.423856507264576,铅钡-亚类1
32,C,铅钡,浅绿,无风化,5.581902712920231,1.5170427008380891,0.3936442432320928,2.87472107153724,-1.7683146700203063,-0.6995324812583384,1.4589037213521987,-3.60742793584066,-1.8998343132889195,1.482406429378475,3.151008433017842,2.898506188133747,2.6834952882893433,铅钡-亚类1
33,C,铅钡,深绿,无风化,5.638415619063568,1.8243988731909593,0.0335866821416639,-0.373155187465623,-1.0846508492365543,3.253265023925432,0.1097259665441982,-3.238475890253163,-1.458764598731065,1.8337591495017032,3.214904904304464,2.9572823930729406,2.737911480210399,铅钡-亚类1
34,C,铅钡,深绿,风化,5.110294520803501,1.102400639690584,-0.2058773169320306,2.8826515361484266,-1.4183850498812651,-0.0530992498174137,-1.137737536469302,-4.235733071547772,-2.3295350289293943,1.1168896813187428,1.436361443090186,3.3730121848383052,3.1228024775010312,铅钡-亚类3
35,C,铅钡,浅绿,无风化,5.542266829115227,3.1998292457104096,-0.0601238794963235,2.3523487963203524,-1.7438547146067644,0.504280952315066,0.493429256359416,-4.209013762318404,-2.4778989792676125,0.2419033983102156,2.884540233127187,2.653391094746261,2.456562808073583,铅钡-亚类1
36,C,铅钡,深绿,风化,2.036866380123995,3.432471676519048,1.585468044857536,3.603166014528948,-0.8187472844008644,0.7980822177086566,-0.0139294832315536,-3.891003878592296,-2.203272538182572,2.8140230177002645,1.472459096781482,3.4062171967655894,3.153544344956498,铅钡-亚类2
37,C,铅钡,深绿,无风化,5.477250050443156,1.3823433121196476,-0.1943911501973044,3.0095482643825644,-1.7878292523671713,2.7943410275880023,-2.0247433889709434,-3.4311330789240135,-2.5839200597400165,-0.4707610654452649,1.0539035455224988,3.350692746863214,-1.6650272417471932,铅钡-亚类3
38,C,铅钡,深绿,风化,2.2431552642558024,4.5380002550443965,0.3821470742220246,3.215416857251765,-1.5679547508193594,0.694772384404625,-0.261849951483931,-4.202831373308294,-2.225328286177094,0.8621197803818919,0.9379223091251256,3.5126219733043853,3.2520560257879225,铅钡-亚类2
39,C,铅钡,深绿,风化,4.891287224251193,2.8239859956052036,-1.254215961757701,2.3861849446578796,-0.750601606486069,2.102823686501125,-1.473267244943715,-5.296054650637248,-2.7119607348422896,-0.7097164632295869,-0.0325254932360941,3.001655050358449,2.778992578205642,铅钡-亚类3
40,C,铅钡,浅蓝,风化,4.57191633257877,2.639597125326799,-1.8362987402321156,2.401819480328415,-0.6416555097397393,0.2559659724869873,2.0821443846454413,-5.612996434772372,-2.7901790053682274,-1.2560552818638246,-0.2307013428009832,2.9237318009091418,2.706849667625883,铅钡-亚类3
41,C,铅钡,浅绿,风化,4.6423433805985,0.3706521306850304,-1.8357574322811552,-0.8879054214725433,-0.9063324425773748,-0.1912817047980725,1.9324298249074536,-3.4318454825187494,-1.6383325645531532,-1.225696900514665,1.5279788488045527,4.186612576392151,3.876050073184401,铅钡-亚类3
42,A,铅钡,浅蓝,风化,1.552364024983504,3.4506782697703913,2.0438564663898284,0.6470099112587078,-0.7562975555075815,4.151586048465811,-0.7459322665068351,-2.593554514730652,-1.6778495987172104,3.809114024933348,2.0641565486954785,3.7306358188793785,3.45389762604996,铅钡-亚类2
43,C,铅钡,浅蓝,风化,4.586366818564079,2.6479401173003385,-2.813651542058805,-0.5295114890019874,-1.4580993355284275,-0.3361656903823105,-1.3764327948178972,-3.7825226214470615,-1.2068948136380526,-1.2782322281573506,1.1763711111588866,4.022894323492588,3.7244764239503385,铅钡-亚类3
44,A,铅钡,浅蓝,风化,2.112967675574431,3.4472049639431876,0.3848507128719133,4.24294351669055,-2.186753985807425,0.7461692486696221,1.1911788867125692,-2.206671966310483,-1.0645771694961934,4.092461243206382,1.531331511751472,3.62087231503318,3.352276367967688,铅钡-亚类2
45,A,铅钡,浅蓝,无风化,2.2182840598519853,3.8817592531748097,0.9842566053983872,0.8757720602497878,-1.0290142755367198,3.999301595213183,0.643427876460948,-2.64455120236193,-2.0070301534574013,3.947215972133088,1.5161241128335496,3.4890910416780976,3.2302706163219312,铅钡-亚类2
46,A,铅钡,浅蓝,无风化,5.417005635557291,1.2794803843571352,2.8648603071370133,-1.503926159700244,-2.1898488592589276,2.9784926808771015,-0.5900084701128078,-3.810922117201036,-2.5355580297178357,1.442172733109062,0.583637900724343,3.232487266253542,2.9927016833563567,铅钡-亚类3
47,A,铅钡,浅蓝,无风化,1.6994199610515537,3.248481602672035,1.3455972189127936,1.359847414854887,-0.3618864413103678,4.108528563175107,0.5471074810770805,-2.973393351653811,-1.699141128405004,2.777529324855271,0.4865684182687735,3.7979134077275782,3.5161845700698575,铅钡-亚类2
48,A,铅钡,浅蓝,风化,2.9695957439975245,2.462645151892349,-0.1432664280318445,0.4301140279976099,-1.6406585767803783,1.0058768747326516,4.312707801115468,-2.2342570278577374,-1.2725861161463674,0.6546968987116466,2.0161821167108016,0.263275582586064,4.020849648476671,铅钡-亚类2
49,A,铅钡,黑,风化,5.218561090151949,1.581995747903352,-1.566118755094053,-0.3955672363852464,-1.6856927912783468,-0.4191695608252362,0.8053484375042662,-2.9731082182432855,-1.0318751970350368,-1.3190350041407275,1.6778447468001938,4.120246724490728,3.814607233555533,铅钡-亚类1
50,A,铅钡,黑,风化,5.020208033416687,2.898418459481046,-2.1062590635867084,0.0072551369316684,-1.625190950915895,1.3163495914843464,-0.4623525634642049,-3.903653508340202,-2.2622682244096257,-1.591984296655634,1.0901861485190776,3.731387759836048,3.454593788101487,铅钡-亚类3
51,C,铅钡,浅蓝,风化,4.797212524250598,2.7696719422359264,-2.476447862535625,-0.8505769019246443,-1.6787536873880058,0.0372760324260497,-0.2251271152389937,-3.7489707427184737,-1.1459014589696956,-1.6408258244118337,2.1077692266378976,1.759599704627947,3.750480633042644,铅钡-亚类1
52,C,铅钡,浅蓝,风化,2.1561067044967164,4.38712371607007,-0.7684824148617191,0.6726911222600714,-0.1319863250098776,1.386516973032054,0.1596417937066474,-3.833827184806407,-1.8138117281347363,-1.2457459101542143,1.3168715298820874,3.929051721151513,3.637595056488008,铅钡-亚类2
53,A,铅钡,浅蓝,风化,2.150805923068472,3.951828658262874,1.0979825433979375,0.5110677846461968,-1.107831508867265,4.110698053322858,0.7224151496856657,-2.408783290122569,-1.7575910706540423,3.9839235750174593,1.396117016674938,3.5327528040371474,3.270693553505432,铅钡-亚类2
54,C,铅钡,浅蓝,风化,4.688134602710313,1.2230583907466557,-1.126553736167272,-0.6143789994826854,-1.581409809338028,3.3024116390726173,-0.630281863875367,-4.290105444805573,-1.1961586495939929,-1.9964424074022145,0.3006690413554972,3.7830539890908,3.5024274216249927,铅钡-亚类3
55,C,铅钡,绿,无风化,2.047127676510058,4.975848750395543,0.2519156340178432,3.568801800754016,-0.7569424667172497,3.0831952822493416,-0.6027358127061178,-3.968010776677287,-2.2011046209777576,0.9866839546472128,3.3898691508193535,3.118226091576427,2.8869163912166607,铅钡-亚类2
56,C,铅钡,蓝绿,风化,4.965384182834329,2.8667658945893097,-1.2986696545770526,2.428904859697514,-1.9100599386632535,2.3341833655053805,-1.1719830025994866,-4.762753703231241,-3.3282894690004503,-1.289126908457855,3.209954893962148,2.952729045814905,2.7336958997976657,铅钡-亚类1
57,C,铅钡,蓝绿,风化,4.868568079044857,2.8108690910045673,-1.4069629500765577,2.4160448147414817,-2.070398059843578,2.3506363256286233,-1.5170665759009354,-4.789043858273299,-3.3744457198475297,3.145554076534424,2.871484872617059,2.641381909740469,2.4454444632133336,铅钡-亚类1
58,C,铅钡,浅蓝,风化,4.994841327950584,0.7846835016863529,-1.4618682032644448,0.196424322456631,-1.2036167308479833,0.2875015406440553,-0.9594368995513546,-3.232829988463642,-1.3390260156678575,-1.3638447882527691,2.2239635985392647,4.181098622297151,3.8709451436540254,铅钡-亚类1
