product1,product2,样本数,相关系数,p值,显著性,关系类型,簇
小皱皮,菊花油菜,5,-0.9999999999999999,1.4042654220543672e-24,Yes,负相关,1
红线椒,青尖椒(份),5,0.9746794344808964,0.004818230468198537,Yes,正相关,1
蔡甸藜蒿(份),高瓜,11,0.9493994882425818,8.02316110680557e-06,Yes,正相关,1
紫苏,菱角,4,0.9486832980505139,0.05131670194948612,No,无显著关联,1
双孢菇(份),红椒,4,0.9486832980505139,0.05131670194948612,No,无显著关联,1
白菜苔,蟹味菇与白玉菇双拼(盒),4,-0.9486832980505139,0.05131670194948612,No,无显著关联,1
菜心(份),青红尖椒组合装(份),4,-0.9486832980505139,0.05131670194948612,No,无显著关联,1
双孢菇(份),青茄子,4,0.9486832980505139,0.05131670194948612,No,无显著关联,1
菱角,银耳(朵),4,-0.9486832980505139,0.05131670194948612,No,无显著关联,1
杏鲍菇(250克),青线椒,4,0.9486832980505139,0.05131670194948612,No,无显著关联,1
菌蔬四宝(份),西峡香菇(份),4,-0.9486832980505139,0.05131670194948612,No,无显著关联,1
竹叶菜(份),面条菜,4,-0.9486832980505139,0.05131670194948612,No,无显著关联,1
牛排菇,银耳(朵),4,0.9486832980505139,0.05131670194948612,No,无显著关联,1
杏鲍菇(袋),青线椒(份),4,-0.9486832980505139,0.05131670194948612,No,无显著关联,1
小米椒,杏鲍菇(250克),5,0.9486832980505138,0.013846832988859059,Yes,正相关,1
杏鲍菇(250克),红杭椒,5,0.9486832980505137,0.013846832988859107,Yes,正相关,1
小皱皮,鱼腥草(份),8,0.9461247469114746,0.00037531187379043814,Yes,正相关,1
紫螺丝椒,红灯笼椒,6,0.942857142857143,0.004804664723032055,Yes,正相关,1
荸荠,豌豆尖,6,0.942857142857143,0.004804664723032055,Yes,正相关,1
小米椒,鱼腥草(份),8,0.9285714285714287,0.0008629681828999769,Yes,正相关,1
杏鲍菇(袋),鱼腥草(份),7,0.9181818181818182,0.003517808632156421,Yes,正相关,1
小白菜,鲜粽叶,9,0.9166666666666666,0.0005066190663052084,Yes,正相关,1
牛首油菜,红灯笼椒(份),8,0.912870929175277,0.0015474212145409312,Yes,正相关,1
快菜,青尖椒,8,0.9047619047619048,0.0020082755054294677,Yes,正相关,1
快菜,红尖椒,5,-0.8999999999999998,0.03738607346849875,Yes,负相关,1
双孢菇,荠菜,5,-0.8999999999999998,0.03738607346849875,Yes,负相关,1
红尖椒,菊花油菜,5,0.8999999999999998,0.03738607346849875,Yes,正相关,1
牛排菇,辣妹子,5,0.8999999999999998,0.03738607346849875,Yes,正相关,1
菊花油菜,青杭椒,5,0.8999999999999998,0.03738607346849875,Yes,正相关,1
杏鲍菇,鲜藕带(袋),7,-0.8964214570007952,0.006267499099451484,Yes,负相关,1
紫苏,苋菜(份),4,0.8944271909999159,0.10557280900008414,No,无显著关联,1
菌菇火锅套餐(份),鱼腥草(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
杏鲍菇(250克),白玉菇(袋),4,0.8944271909999159,0.10557280900008414,No,无显著关联,1
红椒,菌菇火锅套餐(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
七彩椒(份),萝卜叶,4,0.8944271909999159,0.10557280900008414,No,无显著关联,1
菌菇火锅套餐(份),虫草花(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
枝江红菜苔,菌菇火锅套餐(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
洪湖莲藕(粉藕),菌菇火锅套餐(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
杏鲍菇,菌菇火锅套餐(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
菌菇火锅套餐(份),青茄子,4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
蟹味菇,面条菜,4,0.8944271909999159,0.10557280900008414,No,无显著关联,1
双孢菇,杏鲍菇(250克),4,0.8944271909999159,0.10557280900008414,No,无显著关联,1
竹叶菜(份),青尖椒,4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
荸荠,菌菇火锅套餐(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
荸荠(份),青茄子,5,0.8944271909999159,0.040519326353834,Yes,正相关,1
冰草(盒),四川红香椿,4,0.8944271909999159,0.10557280900008414,No,无显著关联,1
上海青(份),菌菇火锅套餐(份),4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
菌菇火锅套餐(份),野藕,4,-0.8944271909999159,0.10557280900008414,No,无显著关联,1
竹叶菜(份),银耳(朵),5,-0.8944271909999157,0.040519326353834054,Yes,负相关,1
上海青(份),襄甜红菜苔(袋),4,0.888888888888889,0.11111111111111102,No,无显著关联,1
上海青(份),双孢菇(份),4,-0.888888888888889,0.11111111111111102,No,无显著关联,1
东门口小白菜,秀珍菇,6,0.8857142857142858,0.01884548104956266,Yes,正相关,1
外地茼蒿,紫圆茄,6,0.8857142857142858,0.01884548104956266,Yes,正相关,1
豌豆尖,黑油菜,6,0.8857142857142858,0.01884548104956266,Yes,正相关,1
姬菇,豌豆尖,6,-0.8857142857142858,0.01884548104956266,Yes,负相关,1
平菇,竹叶菜(份),6,-0.8827348295047495,0.01982041658888203,Yes,负相关,1
组合椒系列,花茄子,6,0.8827348295047495,0.01982041658888203,Yes,正相关,1
豌豆尖,青红杭椒组合装(份),7,0.8794653965640158,0.00906979826702328,Yes,正相关,1
红椒,襄甜红菜苔(袋),7,0.8728715609439697,0.010323415480831426,Yes,正相关,1
白玉菇(袋),紫圆茄,5,0.8720815992723809,0.05385421772754214,No,无显著关联,1
杏鲍菇(袋),芥菜,7,-0.8660254037844388,0.011724811003954594,Yes,负相关,1
丝瓜尖,紫苏,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
东门口小白菜,红灯笼椒(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
上海青(份),黑牛肝菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
白菜苔,鱼腥草(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
丝瓜尖,红薯尖(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
红薯尖(份),马兰头,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
余干椒,银耳(朵),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
红杭椒,黑皮鸡枞菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
上海青(份),藕尖,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
槐花,青杭椒(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
青线椒,黑皮鸡枞菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
青线椒,黑牛肝菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
红椒,黑牛肝菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
丝瓜尖,白菜苔,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
红椒,黑皮鸡枞菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
紫白菜,红薯尖(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
小白菜,小白菜(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
芥菜,青红杭椒组合装(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
竹叶菜(份),红莲藕带,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
槐花,鲜粽叶(袋),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
四川红香椿,小青菜(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
虫草花(份),野生粉藕,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
上海青(份),槐花,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
小皱皮,菌菇火锅套餐(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
茼蒿,黑皮鸡枞菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
牛排菇(盒),苋菜(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
牛首油菜,黑皮鸡枞菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
外地茼蒿,荸荠(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
牛首生菜,红灯笼椒(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
茼蒿,菌菇火锅套餐(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
冰草(盒),小白菜,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
牛首生菜,银耳(朵),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
牛首生菜,黑牛肝菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
菌菇火锅套餐(份),青红杭椒组合装(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
红尖椒(份),荠菜,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
菌蔬四宝(份),银耳(朵),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
牛首生菜,黑皮鸡枞菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
灯笼椒(份),白菜苔,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
青尖椒,黑皮鸡枞菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
茼蒿(份),黑皮鸡枞菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
荸荠,黑皮鸡枞菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
长线茄,黑皮鸡枞菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
七彩椒(份),襄甜红菜苔(袋),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
青尖椒,青红杭椒组合装(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
小米椒,菌菇火锅套餐(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
荸荠(份),萝卜叶,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
海鲜菇(包),银耳(朵),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
荸荠,黑牛肝菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
菜心(份),藕尖,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
海鲜菇,绣球菌,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
海鲜菇(份),蟹味菇,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
海鲜菇(包),野生粉藕,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
蟹味菇,青红杭椒组合装(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
菌菇火锅套餐(份),西峡香菇(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
荠菜,虫草花(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
七彩椒,菌菇火锅套餐(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
小青菜,杏鲍菇(250克),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(250克),红尖椒,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
赤松茸,青线椒(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
双孢菇(份),青杭椒(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
红灯笼椒,菌菇火锅套餐(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
双孢菇(份),虫草花(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(250克),红灯笼椒,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
小青菜(份),蟹味菇,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
白玉菇,莲蓬(个),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
荠菜,青红杭椒组合装(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
红杭椒,青红杭椒组合装(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
紫苏(份),茼蒿,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
紫螺丝椒,红杭椒(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
紫白菜,青杭椒(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
姬菇(包),红莲藕带,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
小白菜,茶树菇(袋),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
红尖椒,黑皮鸡枞菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
东门口小白菜,黑牛肝菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
洪山菜苔,鲜木耳(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
七彩椒(份),洪湖莲藕(粉藕),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
平菇,黑牛肝菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(袋),青菜苔,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
本地上海青,青尖椒(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(250克),茼蒿,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(250克),蔡甸藜蒿,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
水果辣椒(份),荸荠(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(袋),菊花油菜,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
木耳菜,鲜藕带(袋),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
蒲公英,鱼腥草(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
木耳菜(份),马齿苋,3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
东门口小白菜,黑皮鸡枞菌(盒),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
杏鲍菇(袋),鲜粽子叶,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
枝江红菜苔,黑牛肝菌(盒),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
四川红香椿,白蒿,3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
枝江红菜苔(份),红杭椒(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
春菜,苋菜(份),3,0.8660254037844387,0.3333333333333332,No,无显著关联,1
水果辣椒,海鲜菇(份),3,-0.8660254037844387,0.3333333333333332,No,无显著关联,1
紫苏(份),马兰头,5,0.8660254037844386,0.05766888562243733,No,无显著关联,1
姬菇(包),蟹味菇(盒),5,0.8603090020146066,0.061343779336694874,No,无显著关联,1
薄荷叶,银耳(朵),9,0.8571593913749195,0.003144944785580404,Yes,正相关,1
虫草花,野藕,7,0.8571428571428573,0.013697326615325611,Yes,正相关,1
牛首油菜,襄甜红菜苔(袋),7,-0.854686736757637,0.014273916157474888,Yes,负相关,1
红莲藕带,青线椒(份),13,0.8500524739945557,0.00023281665622813585,Yes,正相关,1
小青菜,洪湖莲藕(脆藕),6,0.8406680016960503,0.0360575728451592,Yes,正相关,1
茶树菇(袋),青线椒,7,-0.8366600265340757,0.01892712407194561,Yes,负相关,1
七彩椒,豌豆尖,16,-0.8323529411764706,6.328124573232549e-05,Yes,负相关,1
平菇,紫白菜,12,0.8321678321678322,0.0007854416778536138,Yes,正相关,1
紫苏,薄荷叶,10,0.8303030303030302,0.0029402270232795065,Yes,正相关,1
蒲公英,野藕,6,0.8285714285714287,0.04156268221574334,Yes,正相关,1
海鲜菇,马兰头,6,-0.8285714285714287,0.04156268221574334,Yes,负相关,1
野生粉藕,黑皮鸡枞菌,6,-0.8285714285714287,0.04156268221574334,Yes,负相关,1
蟹味菇,蟹味菇(袋),7,0.828416869579514,0.0213062085544675,Yes,正相关,1
红椒(份),菜心(份),9,0.8252682722643163,0.006161127826644134,Yes,正相关,1
姬菇(份),水果辣椒(份),11,0.8243582325339437,0.001800071828714755,Yes,正相关,1
平菇,红杭椒(份),9,-0.8231358044408909,0.006414137070006338,Yes,负相关,1
紫白菜,红灯笼椒,7,0.8214285714285715,0.023448808345691505,Yes,正相关,1
紫白菜,红尖椒,7,0.8214285714285715,0.023448808345691505,Yes,正相关,1
东门口小白菜,海鲜菇(份),7,-0.8183170883849715,0.02444020712312145,Yes,负相关,1
豌豆尖,高瓜,10,0.8181818181818182,0.0038149200825507135,Yes,正相关,1
灯笼椒(份),白玉菇(盒),4,0.8164965809277261,0.1835034190722738,No,无显著关联,1
红灯笼椒(份),菜心(份),8,-0.8142773600239779,0.013867342522703458,Yes,负相关,1
牛首生菜,蟹味菇(袋),7,0.8108437164260032,0.02691632884316199,Yes,正相关,1
水果辣椒,红尖椒,15,0.8078644870206979,0.0002691187030635876,Yes,正相关,1
姬菇(包),青红杭椒组合装(份),5,-0.8029550685469662,0.10183797037740712,No,无显著关联,1
牛排菇(盒),高瓜,7,0.8017837257372733,0.030099247897462503,Yes,正相关,1
奶白菜苗,红尖椒,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
奶白菜苗,小白菜,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
茼蒿,菌蔬四宝(份),4,-0.7999999999999999,0.20000000000000007,No,无显著关联,1
东门口小白菜,快菜,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
七彩椒,油菜苔,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
南瓜尖,外地茼蒿,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
田七,面条菜,4,-0.7999999999999999,0.20000000000000007,No,无显著关联,1
双孢菇,奶白菜苗,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
南瓜尖,姬菇,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
白菜苔,黑皮鸡枞菌,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
紫苏,紫螺丝椒,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
白蒿,红灯笼椒,4,-0.7999999999999999,0.20000000000000007,No,无显著关联,1
木耳菜,芥菜,5,-0.7999999999999999,0.10408803866182788,No,无显著关联,1
木耳菜,艾蒿,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
小白菜,薄荷叶,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
红椒(份),红线椒,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
小青菜(份),鱼腥草,4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
红线椒,菊花油菜,5,-0.7999999999999999,0.10408803866182788,No,无显著关联,1
小白菜(份),水果辣椒(份),4,0.7999999999999999,0.20000000000000007,No,无显著关联,1
