文物编号,纹饰,类型,颜色,表面风化,二氧化硅(SiO2),氧化钠(Na2O),氧化钾(K2O),氧化钙(CaO),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),ALR_氧化钠(Na2O),ALR_氧化钾(K2O),ALR_氧化钙(CaO),ALR_氧化镁(MgO),ALR_氧化铝(Al2O3),ALR_氧化铁(Fe2O3),ALR_氧化铜(CuO),ALR_氧化铅(PbO),ALR_氧化钡(BaO),ALR_五氧化二磷(P2O5),ALR_氧化锶(SrO),ALR_氧化锡(SnO2),ALR_二氧化硫(SO2)
28,A,铅钡,浅蓝,风化,68.08,0.0,0.26,1.34,1.0,4.7,0.41,0.33,17.14,4.04,1.04,0.12,0.23,0.0,,-5.567757132231728,-3.9280138703022986,-4.220683484265119,-2.673120975549106,-5.112281603548903,-5.32934610878673,-1.3792685710954848,-2.8244387922920597,-4.181462771111837,-6.34094702046521,-5.69035945432406,
29,A,铅钡,浅蓝,风化,63.3,0.92,0.3,2.98,1.49,14.34,0.81,0.74,12.31,2.03,0.41,0.25,0.0,0.0,-4.231266938089181,-5.351858133476067,-3.0559620286328175,-3.7491092091927625,-1.4848324939786561,-4.3586063604657825,-4.448990421934052,-1.6374733889537683,-3.4398495360964345,-5.039483448433914,-5.534179690270021,,
30,A,铅钡,深蓝,无风化,35.635000000000005,0.0,0.705,4.365,0.745,4.1049999999999995,2.43,0.0,38.480000000000004,10.32,0.705,0.415,0.42000000000000004,0.0,,-3.9228857771237027,-2.0997101116622687,-3.867699361556412,-2.161122558049443,-2.685437043601377,,0.07681032484367158,-1.2392445409004174,-3.9228857771237027,-4.452805059705273,-4.440828868658557,
31,C,铅钡,紫,无风化,65.91,0.0,0.0,1.6,0.89,3.11,4.59,0.44,16.55,3.42,1.62,0.3,0.0,0.0,,,-3.7182865458188927,-4.30482399132058,-3.053667448873486,-2.6644101509921745,-5.009270727134458,-1.3819040732415566,-2.9586496239901146,-3.7058640258203357,-5.392262979390565,,
32,C,铅钡,浅绿,无风化,69.71,0.0,0.21,0.46,0.0,2.36,1.0,0.11,19.76,4.88,0.17,0.0,0.0,0.0,,-5.804991527762976,-5.020872568997303,,-3.3856821604607887,-4.244343779498307,-6.451618692688029,-1.2606840871785854,-2.6591985596332512,-6.016300621430182,,,
33,C,铅钡,深绿,无风化,75.51,0.0,0.15,0.64,1.0,2.35,0.0,0.47,16.16,3.55,0.13,0.0,0.0,0.0,,-6.221385082701215,-4.7705522004437535,-4.324265097815334,-3.4698497696592665,,-5.0792876820933675,-1.541726044722385,-3.05731749432801,-6.364485926341889,,,
34,C,铅钡,深绿,风化,35.78,0.0,0.25,0.78,0.0,1.62,0.47,1.51,46.55,10.0,0.34,0.22,0.0,0.0,,-4.963683439200464,-3.825850437379073,,-3.0949629288362805,-4.332411662358606,-3.16527942725374,0.2631379256425029,-1.2748039850865274,-4.656198739452503,-5.091516810710349,,
35,C,铅钡,浅绿,无风化,65.91,0.0,0.0,0.38,0.0,1.44,0.17,0.16,22.05,5.68,0.42,0.0,0.0,0.0,,,-5.155874201326334,,-3.823647061476719,-5.960247016996504,-6.020871638812938,-1.0949775731717735,-2.4513389423315686,-5.055790742769352,,,
36,C,铅钡,深绿,风化,39.57,2.22,0.14,0.37,0.0,1.6,0.32,0.68,41.61,10.83,0.07,0.22,0.0,0.0,-2.8805640595131448,-5.644184111770166,-4.6723235287412,,-3.2080676261515975,-4.8175055385856975,-4.0637337362093175,0.05026926759751707,-1.2957511943844338,-6.337331292330111,-5.192198988027108,,
37,C,铅钡,深绿,无风化,60.12,0.0,0.23,0.89,0.0,2.72,0.0,3.01,17.24,10.34,1.46,0.31,0.0,3.66,,-5.566018534943716,-4.212876381140725,,-3.0957106845768676,,-2.9944024861239895,-1.2491102996492267,-1.7603226958044906,-3.7179061291645286,-5.267525546387719,,-2.7988794174714986
38,C,铅钡,深绿,风化,32.93,1.38,0.0,0.68,0.0,2.57,0.29,0.73,49.31,9.79,0.48,0.41,0.0,0.0,-3.17230059721916,,-3.8800465772002575,,-2.550478197481145,-4.73225845238989,-3.809094841227973,0.4037428038477619,-1.2130226398458541,-4.228353271468474,-4.3859822156720565,,
39,C,铅钡,深绿,风化,26.25,0.0,0.0,1.11,0.0,0.5,0.0,0.88,61.03,7.22,1.16,0.61,0.0,0.0,,,-3.1633059737133897,,-3.960813169597578,,-3.3954993605475177,0.8436995575187708,-1.290811036132898,-3.1192459839193596,-3.7619623108524127,,
40,C,铅钡,浅蓝,风化,16.71,0.0,0.0,1.87,0.0,0.45,0.19,0.0,70.21,6.69,1.77,0.68,0.0,0.0,,,-2.190068911740807,,-3.614515038825074,-4.476738549428953,,1.435483408421855,-0.9153934684671652,-2.2450277960215645,-3.201669823419287,,
41,C,铅钡,浅绿,风化,18.46,0.0,0.44,4.96,2.73,3.33,1.79,0.19,44.12,9.76,7.46,0.47,0.0,0.0,,-3.736586781144536,-1.31420048833787,-1.9113046198778378,-1.7126339250823537,-2.3333906092220427,-4.576337435896357,0.8713069653105956,-0.6373138286497051,-0.9060508148590367,-3.670628813352739,,
42,A,铅钡,浅蓝,风化,51.295,5.71,0.25,0.395,1.125,4.595,0.0,2.6950000000000003,21.0,10.675,0.04,0.175,0.0,0.0,-2.195374257871757,-5.3238876426595665,-4.866462795620691,-3.8198102458832928,-2.4126245257320256,,-2.9461950771787153,-0.8930708438162531,-1.5696887224249878,-7.156469106407877,-5.680562586598299,,
43,C,铅钡,浅蓝,风化,17.055,0.0,0.0,5.82,0.9199999999999999,2.83,1.075,3.4299999999999997,52.3,5.275,6.415,0.5549999999999999,0.0,0.0,,,-1.0751431541272625,-2.91982502480966,-1.7961667042154628,-2.764122754290983,-1.6038831546927605,1.1205529552002682,-1.1734647365084787,-0.9778044178030093,-3.425230581106312,,
44,A,铅钡,浅蓝,风化,60.74,3.06,0.2,2.14,0.0,12.69,0.77,0.43,13.61,5.22,0.0,0.26,0.0,0.0,-2.9881875436533134,-5.716040372051703,-3.3457966305838425,,-1.5657881778913065,-4.36796722375201,-4.950572529912131,-1.4957976429542281,-2.4541050577230554,,-5.453676107584212,,
45,A,铅钡,浅蓝,无风化,61.28,2.66,0.11,0.84,0.74,5.0,0.0,0.53,15.99,10.96,0.0,0.23,0.0,0.0,-3.137127402638728,-6.322728438622057,-4.289806912577114,-4.416558618216258,-2.5060156129982354,,-4.750331797868306,-1.343489998586473,-1.7212012439124664,,-5.585129495491278,,
46,A,铅钡,浅蓝,无风化,55.21,0.0,0.25,0.0,1.67,4.79,0.0,0.77,25.25,10.06,0.2,0.43,0.0,0.0,,-5.397438457415844,,-3.4983204698672896,-2.4446136848731292,,-4.272508860430361,-0.7823179405745845,-1.7025769316243602,-5.620582008730054,-4.855114166590482,,
47,A,铅钡,浅蓝,无风化,51.54,4.66,0.29,0.87,0.61,3.06,0.0,0.65,25.4,9.23,0.1,0.85,0.0,0.0,-2.4033427570866643,-5.180232561225837,-4.081620272557727,-4.436654527038999,-2.8239432892599297,,-4.3731411213166735,-0.7076090311997282,-1.7198991567094581,-6.244943298218264,-4.104877134721994,,
48,A,铅钡,浅蓝,风化,53.33,0.8,0.32,2.82,1.54,13.65,1.03,0.0,15.71,7.31,1.1,0.25,1.31,0.0,-4.19964257592672,-5.1159333078008755,-2.9397621396624887,-3.544716608186973,-1.362759502981542,-3.946940222370966,,-1.222201572344981,-1.9872557508508237,-3.881188844808186,-5.3627933857324015,-3.7064718873994504,
49,A,铅钡,黑,风化,41.7,0.0,0.15,3.33,1.335,5.9399999999999995,2.005,0.575,28.6,5.145,7.71,0.38,0.0,0.0,,-5.627621113690637,-2.5275288248124035,-3.441569836952543,-1.9487919954302024,-3.0348570680462235,-4.283886366989543,-0.3770944109789489,-2.092475759518743,-1.6879829412295178,-4.698085155066462,,
50,A,铅钡,黑,风化,31.5,0.0,0.0,3.1550000000000002,0.505,3.015,0.165,0.9149999999999999,37.305,10.209999999999999,6.34,0.445,0.0,0.0,,,-2.3009990498384107,-4.133184395538365,-2.3463877156524386,-5.251797350913144,-3.538818759538203,0.16913982009189038,-1.1266199136550132,-1.6031087773824528,-4.259668542647484,,
51,C,铅钡,浅蓝,风化,22.98,0.0,0.0,4.355,1.3199999999999998,3.88,0.8049999999999999,1.06,45.790000000000006,4.47,8.425,0.195,0.235,0.0,,,-1.6632996621161433,-2.8569925358223305,-1.7787891187854277,-3.3515372739841833,-3.0763553642966337,0.6894414542483945,-1.6372358637951323,-1.0034207961821842,-4.769379992839,-4.582794037258588,
52,C,铅钡,浅蓝,风化,25.74,1.22,0.0,2.27,0.55,1.16,0.23,0.7,47.42,8.64,5.71,0.44,0.0,0.0,-3.049195343422815,,-2.4282663706746694,-3.8458832029236008,-3.0996261970497074,-4.717722172226922,-3.604721146106713,0.6109978784692789,-1.091643619352016,-1.5058271785000616,-4.069026754237811,,
53,A,铅钡,浅蓝,风化,63.66,3.04,0.11,0.78,1.14,6.06,0.0,0.54,13.66,8.99,0.0,0.27,0.0,0.0,-3.0416989064358164,-6.360831335043668,-4.402017781152447,-4.022528159447543,-2.3518466217727236,,-4.769742561277764,-1.5390845677113028,-1.9574435733704179,,-5.462889741837709,,
54,C,铅钡,浅蓝,风化,19.695,0.0,0.16,1.595,1.195,3.9000000000000004,0.0,1.085,56.96,3.52,9.185,1.0,0.0,0.0,,-4.812946260171179,-2.513491060186061,-2.8022186110393954,-1.6193882432872684,,-2.8987848094304463,1.0619844706808512,-1.7219038068128634,-0.7627930777557802,-2.9803647964228692,,
55,C,铅钡,绿,无风化,49.01,2.71,0.0,1.13,0.0,1.45,0.0,0.86,32.92,7.95,0.35,0.0,0.0,0.0,-2.8950757240298466,,-3.769806726197207,,-3.520460802488973,,-4.04284724865604,-0.39794398311258694,-1.8188524302552156,-4.941846483420134,,,
56,C,铅钡,蓝绿,风化,29.15,0.0,0.0,1.21,0.0,1.85,0.0,0.79,41.25,15.45,2.54,0.0,0.0,0.0,,,-3.181834553187852,,-2.757269273706268,,-3.608177246317571,0.3471961999841887,-0.6348459094527469,-2.440290831766056,,,
57,C,铅钡,蓝绿,风化,25.42,0.0,0.0,1.31,0.0,2.18,0.0,1.16,45.1,17.3,0.0,0.0,0.0,0.0,,,-2.965509128548248,,-2.4562113889603103,,-3.087116260643035,0.5733459807473247,-0.38482976425757476,,,,
58,C,铅钡,浅蓝,风化,30.39,0.0,0.34,3.49,0.79,3.52,0.86,3.13,39.35,7.66,8.99,0.24,0.0,0.0,,-4.492923268300632,-2.164211870714366,-3.6498359404497718,-2.155652617318696,-3.5649364966632855,-2.27308060237664,0.2583823679347106,-1.3781016231762018,-1.2180007584451729,-4.841229962568847,,
