单品名称,样本数,最佳分布,最佳D,最佳p,是否通过(α=0.05)
牛首生菜,102,normal,0.1253264315126903,0.07433507151626229,True
猪肚菇(盒),6,normal,0.4917876341785291,0.07328407242517276,True
绣球菌,6,normal,0.4917876341785291,0.07328407242517276,True
海鲜菇(份),162,normal,0.10141361819900108,0.06653865877638432,True
蟹味菇(盒),32,normal,0.22493009549903664,0.0664731626814502,True
海鲜菇,369,normal,0.06745609694954124,0.06644208899979309,True
马齿苋,93,normal,0.13755776306011525,0.05366603966532002,True
洪山菜苔,11,poisson,0.3900810068524083,0.05109030052467234,True
枝江青梗散花,337,normal,0.07327932777468038,0.050945000785744377,True
黑油菜,27,poisson,0.2550577127745456,0.049033966870422385,False
奶白菜(份),244,normal,0.0871280216024356,0.0463055070775511,False
紫苏,84,normal,0.14893703550107307,0.04319918991863936,False
虫草花,82,normal,0.151111609962308,0.042339461209765616,False
本地小毛白菜,47,normal,0.19890256037222487,0.04179152671229214,False
蒲公英,18,normal,0.3194372045230629,0.03920759072480573,False
茼蒿(份),83,normal,0.15519344723778727,0.0327157768754448,False
虫草花(袋),141,poisson,0.12051965975120073,0.030490248261556996,False
面条菜,33,normal,0.25416255897413986,0.02290743903762671,False
外地茼蒿,269,normal,0.09371777238200008,0.01657124721192779,False
龙牙菜,63,poisson,0.19678997149026933,0.012981767718671433,False
青红尖椒组合装(份),24,normal,0.31838972651318775,0.011574013217098056,False
泡泡椒(精品),228,normal,0.10581366313661789,0.011209437692615863,False
保康高山大白菜,200,normal,0.11337759020154753,0.010742722574856402,False
双孢菇,224,normal,0.10882967970802138,0.00914578829038509,False
莲蓬(个),86,normal,0.17632921448190386,0.008256671213262456,False
菱角,105,normal,0.16141537863721256,0.0073936125927061,False
云南生菜(份),400,normal,0.08364074358180673,0.006978289031949313,False
青尖椒(份),193,normal,0.12107856513662685,0.006353971289599306,False
水果辣椒(份),85,normal,0.1859406891613528,0.004796325705023086,False
红尖椒(份),246,poisson,0.11081400330463323,0.004366845815770913,False
红杭椒(份),192,poisson,0.1282245258255416,0.0032725956285324076,False
西峡香菇(份),65,normal,0.219265988058027,0.003177520915242593,False
花茄子,81,normal,0.19904266347448918,0.0027425941872313286,False
赤松茸(盒),5,poisson,0.7357588823428847,0.0027018215143332167,False
萝卜叶,164,normal,0.14079941094605797,0.0026752555402896725,False
野藕,170,normal,0.13852516885212862,0.0026227723709716538,False
小青菜,502,normal,0.08117948630871996,0.0025179090586470616,False
大龙茄子,197,normal,0.1294895519641289,0.0024362053607342193,False
随州泡泡青,142,normal,0.15289749442431255,0.0023040118311509206,False
青杭椒(份),110,poisson,0.17458733984800068,0.0021072005523757875,False
木耳菜,421,normal,0.0901434376394673,0.0019935787058339813,False
螺丝椒(份),382,normal,0.09559955342048088,0.0017236272357922498,False
平菇,362,normal,0.0990729601880207,0.0015175349904209543,False
鲜木耳(份),182,poisson,0.1399109007803211,0.0014322739921714652,False
茶树菇(袋),48,normal,0.2720723764259024,0.0012486328598411145,False
红莲藕带,96,normal,0.19538893771138877,0.0010976102405744204,False
洪湖藕带,258,normal,0.12303760442703293,0.0007315991307350315,False
蟹味菇,83,normal,0.22068465847488516,0.0004964124231764585,False
甜白菜,340,normal,0.11153024485295142,0.0003866615304135724,False
青梗散花,444,normal,0.09850436271423257,0.0003343213151133651,False
竹叶菜(份),78,normal,0.23513975863829684,0.00028151558149390503,False
双孢菇(盒),293,normal,0.12784164442537466,0.0001237151286201432,False
小米椒(份),488,normal,0.09954467235164954,0.00011602415721609255,False
青线椒(份),280,normal,0.13233171949697753,9.77858236498274e-05,False
牛排菇(盒),25,normal,0.43108670672609806,9.737733984491077e-05,False
菠菜(份),386,normal,0.11430588038356382,7.531612952974431e-05,False
虫草花(份),245,poisson,0.1432896974841904,7.479319061990201e-05,False
青红杭椒组合装(份),228,normal,0.14933489827827195,6.657092734901601e-05,False
冰草(盒),23,normal,0.45852033108580004,6.080120191124925e-05,False
组合椒系列,176,poisson,0.17053726105029854,6.050524198566768e-05,False
鲜木耳,293,normal,0.13285468739505524,5.702451655119163e-05,False
苋菜,635,normal,0.09057617597270307,5.534443843736092e-05,False
红尖椒,314,normal,0.12889004472801174,5.236114036188489e-05,False
鱼腥草(份),130,poisson,0.19996781225574084,4.944715008880568e-05,False
小皱皮(份),441,normal,0.11063466867785743,3.714571490829316e-05,False
小白菜,478,normal,0.10890336082954827,2.160510530936111e-05,False
青尖椒,617,normal,0.0973347341444256,1.5365140004006844e-05,False
四川红香椿,151,normal,0.19644255053679782,1.3979659250934665e-05,False
菜心(份),275,normal,0.1470622993339834,1.178532622932608e-05,False
荸荠,213,normal,0.17090342559982674,6.568525800787984e-06,False
长线茄,454,normal,0.11779049697970846,6.042088329819969e-06,False
东门口小白菜,435,poisson,0.1207222967138839,5.5494670672406734e-06,False
蟹味菇(袋),100,poisson,0.2518966944464557,4.442221122975232e-06,False
云南生菜,810,normal,0.08957264882773697,4.184665968755744e-06,False
蟹味菇与白玉菇双拼(盒),137,normal,0.21642464315698373,4.106862827361797e-06,False
鲜粽叶(袋),42,normal,0.38974503930730764,2.948851248788039e-06,False
茼蒿,514,normal,0.11383388673640071,2.9407571727331345e-06,False
蔡甸藜蒿,303,poisson,0.1486174507336961,2.6315525338035878e-06,False
云南油麦菜(份),410,normal,0.1290253476979979,2.0704032792606247e-06,False
竹叶菜,667,normal,0.10280530392654712,1.3666651260290114e-06,False
牛首油菜,285,normal,0.15969766054748102,8.125701994336838e-07,False
木耳菜(份),25,normal,0.5336810147843053,3.530385239900259e-07,False
金针菇,537,normal,0.12309443430480937,1.5020754144087397e-07,False
紫苏(份),33,normal,0.48738492854309257,9.541606147490295e-08,False
灯笼椒,314,normal,0.16645413596369252,4.507349199871862e-08,False
姜蒜小米椒组合装(小份),366,normal,0.15539282052384018,3.4858628401459565e-08,False
银耳(朵),141,normal,0.2520120291591691,2.226249112356685e-08,False
金针菇(盒),429,normal,0.1554044558462206,1.6308477275453093e-09,False
青线椒,747,normal,0.11978517935755723,8.496861062448139e-10,False
上海青(份),287,normal,0.1954759279874193,4.3989402626296356e-10,False
杏鲍菇,742,poisson,0.12261252219720742,3.519346274726934e-10,False
奶白菜,762,poisson,0.12742395616774746,3.029643701395423e-11,False
净藕,1074,normal,0.10748555034252091,2.9287607361803066e-11,False
西峡花菇,297,normal,0.20586493922770166,1.6246849742084732e-11,False
云南油麦菜,782,normal,0.12865291891838393,9.608642409766421e-12,False
枝江红菜苔,384,normal,0.186158551764123,4.017112981483792e-12,False
姬菇(包),359,normal,0.19602602920447154,1.4605786670630749e-12,False
红薯尖,567,normal,0.15886100049704793,5.755495089553409e-13,False
螺丝椒,858,normal,0.13114543217157687,2.5068605930579154e-13,False
洪湖莲藕(粉藕),393,normal,0.19414640691301688,1.8834390425655007e-13,False
紫茄子,1048,normal,0.12030106828582576,1.1278602030633837e-13,False
红灯笼椒,450,normal,0.18487149200858458,6.187812031995088e-14,False
高瓜,679,normal,0.15113781570478768,5.251104083102346e-14,False
菜心,711,normal,0.15089038708918096,1.3451345218507115e-14,False
白玉菇(袋),698,poisson,0.15421838638291901,5.811448623195593e-15,False
西兰花,1076,normal,0.12574181977414256,2.7426456197202298e-15,False
芜湖青椒,858,normal,0.14304070272460168,8.809879707526381e-16,False
小米椒,585,normal,0.17841363500217233,9.212903626788635e-17,False
海鲜菇(袋),753,normal,0.159082440725409,4.102749153811586e-17,False
黄心菜,665,normal,0.17130604692405352,1.5630847306490767e-17,False
大白菜,480,normal,0.20637816063552883,2.0862128563337065e-18,False
上海青,919,normal,0.15193104686500536,5.494016035541378e-19,False
菠菜,730,poisson,0.17178341494841445,2.635390007669842e-19,False
圆茄子,504,normal,0.20909500105189982,8.285706566356866e-20,False
红杭椒,588,normal,0.19602734886256398,2.846893535022076e-20,False
七彩椒,527,normal,0.2123230524793649,2.512267734016944e-21,False
西峡香菇,852,normal,0.16825247058944842,1.4926843681257297e-21,False
杏鲍菇(袋),327,poisson,0.2786930461106357,5.972943545374686e-23,False
青茄子,889,normal,0.17708260368546036,7.408434889360141e-25,False
金针菇(袋),572,normal,0.2356321021216114,2.025132789647815e-28,False
黄白菜,966,normal,0.2099108616848339,8.060287877641462e-38,False
娃娃菜,688,normal,0.2653860376292803,2.909720598431028e-43,False
红椒,1030,poisson,0.24633433901607554,1.5703341310991007e-55,False
南瓜尖,4,,,,False
鸡枞菌,3,,,,False
猴头菇,3,,,,False
虫草花(盒),1,,,,False
青菜苔,3,,,,False
甘蓝叶,1,,,,False
活体银耳,1,,,,False
大芥兰,2,,,,False
奶白菜苗,4,,,,False
芥兰,1,,,,False
双沟白菜,2,,,,False
紫尖椒,2,,,,False
藕尖,3,,,,False
黑牛肝菌(盒),3,,,,False
黑皮鸡枞菌(盒),3,,,,False
灯笼椒(份),4,,,,False
水果辣椒(橙色),1,,,,False
双孢菇(份),4,,,,False
红橡叶,1,,,,False
红珊瑚(粗叶),1,,,,False
绿牛油,1,,,,False
绣球菌(袋),2,,,,False
芝麻苋菜,1,,,,False
艾蒿,4,,,,False
金针菇(份),1,,,,False
黑牛肝菌,3,,,,False
菌蔬四宝(份),4,,,,False
菌菇火锅套餐(份),4,,,,False
洪山菜薹珍品手提袋,1,,,,False
洪山菜薹莲藕拼装礼盒,3,,,,False
花菇(一人份),3,,,,False
鹿茸菇(盒),2,,,,False
大白菜秧,4,,,,False
赤松茸,3,,,,False
